medicine_batch_id,product_name,processing_batch_id,raw_batch_id,plant_id,scientific_name,common_name,family,farm_id,collection_date,raw_quantity_kg,pre_manufacturing_lab_result,pre_lab_certificate_id,lab_to_manufacturer_transport_id,manufacturer_id,manufacturing_date,manufacturing_timestamp,post_manufacturing_lab_result,final_lab_certificate_id,qr_id,final_lab_status,batch_status,source_reference,is_synthetic_supply_chain,max_transport_temperature_c,max_transport_humidity_pct,max_transport_light_lux,transport_open_event,transport_shock_detected,max_transport_weight_change_kg,min_transport_latitude,max_transport_latitude,min_transport_longitude,max_transport_longitude,max_storage_temperature_c,max_storage_humidity_pct,max_storage_light_lux,storage_open_event,storage_shock_detected,max_storage_weight_change_kg
MED-2026-006,Brahma-manduki Capsules,ASH-P-2026-006,ASH-2026-011,PLANT-0434,Centella asiatica (L.) Urban,Brahma-manduki,APIACEAE,FARM-011,2026-06-13,895.95,PASS,CERT-PRE-0006,TRN-LM-0006,MFG-001,2026-06-17,2026-06-17T14:45:58.498428,PASS,CERT-POST-0006,QR-2026-006,PASS,RELEASED,BSI+NMPB,True,30.67,84.36,206.1,False,False,0.0,20.008349,29.488697,69.05284,88.41317,27.29,61.52,117.5,False,False,0.0
MED-2026-006,Brahma-manduki Capsules,ASH-P-2026-006,ASH-2026-012,PLANT-2101,Terminalia chebula (Gaertn.) Retz.,Harre,COMBRETACEAE,FARM-012,2026-06-14,556.8,PASS,CERT-PRE-0006,TRN-LM-0006,MFG-001,2026-06-17,2026-06-17T14:45:58.498428,PASS,CERT-POST-0006,QR-2026-006,PASS,RELEASED,BSI+NMPB,True,30.67,84.36,206.1,False,False,0.0,20.008349,29.488697,69.05284,88.41317,27.29,61.52,117.5,False,False,0.0
MED-2026-007,Bahera Capsules,ASH-P-2026-007,ASH-2026-013,PLANT-2098,Terminalia bellirica (Gaertn.) Roxb.,Bahera,COMBRETACEAE,FARM-013,2026-06-15,691.32,PASS,CERT-PRE-0007,TRN-LM-0007,MFG-002,2026-06-19,2026-06-19T10:56:56.842210,PASS,CERT-POST-0007,QR-2026-007,PASS,RELEASED,BSI+NMPB,True,31.12,78.11,228.5,False,False,0.0,20.010122,29.489313,69.183307,88.459714,23.38,47.5,87.0,False,False,0.78
MED-2026-007,Bahera Capsules,ASH-P-2026-007,ASH-2026-014,PLANT-0751,Diplocyclos palmatus (L.) C.Jeffrey,Shivling beej,CUCURBITACEAE,FARM-014,2026-06-17,228.61,PASS,CERT-PRE-0007,TRN-LM-0007,MFG-002,2026-06-19,2026-06-19T10:56:56.842210,PASS,CERT-POST-0007,QR-2026-007,PASS,RELEASED,NMPB,True,31.12,78.11,228.5,False,False,0.0,20.010122,29.489313,69.183307,88.459714,23.38,47.5,87.0,False,False,0.78
MED-2026-008,"Moth, Bhringga Capsules",ASH-P-2026-008,ASH-2026-015,PLANT-2225,Vigna aconitifolia (Jacq.) Marechal,"Moth, Bhringga",FABACEAE,FARM-015,2026-06-18,452.54,PASS,CERT-PRE-0008,TRN-LM-0008,MFG-003,2026-06-24,2026-06-24T14:52:05.519871,PASS,CERT-POST-0008,QR-2026-008,PASS,RELEASED,BSI,True,31.66,73.76,216.2,False,False,0.0,20.018297,29.491244,69.273175,88.466132,27.97,58.92,63.3,False,False,0.0
MED-2026-008,"Moth, Bhringga Capsules",ASH-P-2026-008,ASH-2026-016,PLANT-1114,Hypoxis aurea Lour.,"Bhuin khajur, Dinda kinda (Bihar)",AMARYLLIDACEAE,FARM-001,2026-06-19,829.8,PASS,CERT-PRE-0008,TRN-LM-0008,MFG-003,2026-06-24,2026-06-24T14:52:05.519871,PASS,CERT-POST-0008,QR-2026-008,PASS,RELEASED,BSI,True,31.66,73.76,216.2,False,False,0.0,20.018297,29.491244,69.273175,88.466132,27.97,58.92,63.3,False,False,0.0
MED-2026-009,Kakoli Capsules,ASH-P-2026-009,ASH-2026-017,PLANT-1277,Lilium polyphyllum D.Don,Kakoli,LILIACEAE,FARM-002,2026-06-21,783.4,PASS,CERT-PRE-0009,TRN-LM-0009,MFG-004,2026-06-24,2026-06-24T11:05:39.554445,FAIL,CERT-POST-0009,QR-2026-009,FAIL,BLOCKED,NMPB,True,30.73,79.76,217.8,False,False,0.0,20.002182,29.477172,69.015671,88.176409,24.71,54.28,92.3,False,False,0.0
MED-2026-009,Kakoli Capsules,ASH-P-2026-009,ASH-2026-018,PLANT-1090,Humboldtia vahliana Wight,Arruvanci (Tam.),CAESALPINIACEAE,FARM-003,2026-06-21,149.6,PASS,CERT-PRE-0009,TRN-LM-0009,MFG-004,2026-06-24,2026-06-24T11:05:39.554445,FAIL,CERT-POST-0009,QR-2026-009,FAIL,BLOCKED,BSI,True,30.73,79.76,217.8,False,False,0.0,20.002182,29.477172,69.015671,88.176409,24.71,54.28,92.3,False,False,0.0
MED-2026-010,Jari Capsules,ASH-P-2026-010,ASH-2026-019,PLANT-0887,Ficus amplissima Sm.,Jari,MORACEAE,FARM-004,2026-06-23,786.66,PASS,CERT-PRE-0010,TRN-LM-0010,MFG-005,2026-06-26,2026-06-26T14:31:03.486463,PASS,CERT-POST-0010,QR-2026-010,PASS,RELEASED,BSI,True,29.43,81.59,227.0,False,False,0.0,20.040009,29.471614,69.020768,88.401336,24.19,52.52,71.0,False,False,0.0
MED-2026-010,Jari Capsules,ASH-P-2026-010,ASH-2026-020,PLANT-1126,Imperata cylindrica (L.) Raeusch.,Thatch grass,POACEAE,FARM-005,2026-06-24,661.84,PASS,CERT-PRE-0010,TRN-LM-0010,MFG-005,2026-06-26,2026-06-26T14:31:03.486463,PASS,CERT-POST-0010,QR-2026-010,PASS,RELEASED,NMPB,True,29.43,81.59,227.0,False,False,0.0,20.040009,29.471614,69.020768,88.401336,24.19,52.52,71.0,False,False,0.0
MED-2026-011,"Punir, Asgandh Capsules",ASH-P-2026-011,ASH-2026-021,PLANT-2265,Withania somnifera (L.) Dunal,"Punir, Asgandh",SOLANACEAE,FARM-006,2026-06-25,808.92,PASS,CERT-PRE-0011,TRN-LM-0011,MFG-001,2026-06-29,2026-06-29T16:50:41.492268,PASS,CERT-POST-0011,QR-2026-011,PASS,RELEASED,BSI+NMPB,True,29.26,82.89,220.5,False,False,0.0,20.043141,29.494617,69.0213,88.46036,26.13,68.03,132.5,False,False,0.0
MED-2026-011,"Punir, Asgandh Capsules",ASH-P-2026-011,ASH-2026-022,PLANT-0638,Curcuma longa L.,"Haldi, Halada",ZINGIBERACEAE,FARM-007,2026-06-27,544.08,PASS,CERT-PRE-0011,TRN-LM-0011,MFG-001,2026-06-29,2026-06-29T16:50:41.492268,PASS,CERT-POST-0011,QR-2026-011,PASS,RELEASED,BSI+NMPB,True,29.26,82.89,220.5,False,False,0.0,20.043141,29.494617,69.0213,88.46036,26.13,68.03,132.5,False,False,0.0
MED-2026-012,Tulasi Herb Capsules,ASH-P-2026-012,ASH-2026-023,PLANT-1513,Ocimum tenuiflorum L.; [= O. sanctum L.],Tulasi Herb,LAMIACEAE,FARM-008,2026-06-28,226.87,PASS,CERT-PRE-0012,TRN-LM-0012,MFG-002,2026-07-03,2026-07-03T11:54:02.512198,PASS,CERT-POST-0012,QR-2026-012,PASS,RELEASED,NMPB,True,30.51,75.65,214.2,False,False,0.0,20.016031,29.44791,69.067804,88.477069,25.26,50.92,84.4,False,False,0.0
MED-2026-012,Tulasi Herb Capsules,ASH-P-2026-012,ASH-2026-024,PLANT-0246,Bacopa monnieri (L.) Pennell,Nira-brahmi,SCROPHULARIACEAE,FARM-009,2026-06-28,747.13,PASS,CERT-PRE-0012,TRN-LM-0012,MFG-002,2026-07-03,2026-07-03T11:54:02.512198,PASS,CERT-POST-0012,QR-2026-012,PASS,RELEASED,BSI+NMPB,True,30.51,75.65,214.2,False,False,0.0,20.016031,29.44791,69.067804,88.477069,25.26,50.92,84.4,False,False,0.0
MED-2026-013,Thatch grass Capsules,ASH-P-2026-013,ASH-2026-040,PLANT-1126,Imperata cylindrica (L.) Raeusch.,Thatch grass,POACEAE,FARM-010,2026-07-18,216.28,PASS,CERT-PRE-0013,TRN-LM-0013,MFG-003,2026-07-21,2026-07-21T07:41:51.674600,PASS,CERT-POST-0013,QR-2026-013,PASS,RELEASED,NMPB,True,29.58,79.06,207.3,False,False,0.0,20.055762,29.496604,69.169422,88.483765,27.69,61.29,166.5,False,False,0.0
MED-2026-014,"Moth, Bhringga Capsules",ASH-P-2026-014,ASH-2026-015,PLANT-2225,Vigna aconitifolia (Jacq.) Marechal,"Moth, Bhringga",FABACEAE,FARM-015,2026-06-18,452.54,PASS,CERT-PRE-0014,TRN-LM-0014,MFG-004,2026-07-02,2026-07-02T10:34:43.445825,PASS,CERT-POST-0014,QR-2026-014,PASS,RELEASED,BSI,True,33.35,73.72,207.6,False,False,0.0,20.006407,29.48403,69.03787,88.41291,25.78,52.05,91.7,False,False,0.0
MED-2026-014,"Moth, Bhringga Capsules",ASH-P-2026-014,ASH-2026-020,PLANT-1126,Imperata cylindrica (L.) Raeusch.,Thatch grass,POACEAE,FARM-005,2026-06-24,661.84,PASS,CERT-PRE-0014,TRN-LM-0014,MFG-004,2026-07-02,2026-07-02T10:34:43.445825,PASS,CERT-POST-0014,QR-2026-014,PASS,RELEASED,NMPB,True,33.35,73.72,207.6,False,False,0.0,20.006407,29.48403,69.03787,88.41291,25.78,52.05,91.7,False,False,0.0
MED-2026-014,"Moth, Bhringga Capsules",ASH-P-2026-014,ASH-2026-025,PLANT-0243,Azadirachta indica (L.) A.Juss.,Nim,MELIACEAE,FARM-010,2026-06-30,344.23,PASS,CERT-PRE-0014,TRN-LM-0014,MFG-004,2026-07-02,2026-07-02T10:34:43.445825,PASS,CERT-POST-0014,QR-2026-014,PASS,RELEASED,BSI+NMPB,True,33.35,73.72,207.6,False,False,0.0,20.006407,29.48403,69.03787,88.41291,25.78,52.05,91.7,False,False,0.0
MED-2026-015,"Amrita, Giloe Capsules",ASH-P-2026-015,ASH-2026-046,PLANT-2129,Tinospora cordifolia (Willd.) Hook.f. & Thomson,"Amrita, Giloe",MENISPERMACEAE,FARM-001,2026-07-25,420.87,PASS,CERT-PRE-0015,TRN-LM-0015,MFG-005,2026-07-28,2026-07-28T16:49:48.542147,PASS,CERT-POST-0015,QR-2026-015,PASS,RELEASED,BSI+NMPB,True,29.62,72.92,232.4,False,False,0.0,20.097096,29.494936,69.011431,88.449903,27.24,62.93,57.3,False,False,0.0
MED-2026-016,"Kesar, Zafran Capsules",ASH-P-2026-016,ASH-2026-049,PLANT-0604,Crocus sativus L.,"Kesar, Zafran",IRIDACEAE,FARM-004,2026-07-29,636.02,PASS,CERT-PRE-0016,TRN-LM-0016,MFG-001,2026-08-01,2026-08-01T08:11:41.389943,PASS,CERT-POST-0016,QR-2026-016,PASS,RELEASED,BSI+NMPB,True,30.55,78.23,235.8,False,False,0.0,20.001826,29.491484,69.14405,88.434621,23.91,52.78,76.9,False,False,0.0
MED-2026-017,"Moth, Bhringga Capsules",ASH-P-2026-018,ASH-2026-055,PLANT-2225,Vigna aconitifolia (Jacq.) Marechal,"Moth, Bhringga",FABACEAE,FARM-010,2026-08-05,762.97,PASS,CERT-PRE-0018,TRN-LM-0018,MFG-002,2026-08-07,2026-08-07T14:12:21.015368,PASS,CERT-POST-0017,QR-2026-017,PASS,RELEASED,BSI,True,29.87,76.1,224.8,False,False,0.0,20.031124,29.286868,69.004424,88.379191,28.22,57.87,116.6,False,False,0.0
MED-2026-018,Arruvanci (Tam.) Capsules,ASH-P-2026-019,ASH-2026-058,PLANT-1090,Humboldtia vahliana Wight,Arruvanci (Tam.),CAESALPINIACEAE,FARM-013,2026-08-09,399.23,PASS,CERT-PRE-0019,TRN-LM-0019,MFG-003,2026-08-13,2026-08-13T07:50:09.260486,PASS,CERT-POST-0018,QR-2026-018,PASS,RELEASED,BSI,True,31.21,77.73,197.4,False,False,0.0,20.102428,29.479556,69.021129,88.441536,26.95,58.26,69.1,False,False,0.0
MED-2026-019,"Punir, Asgandh Capsules",ASH-P-2026-020,ASH-2026-061,PLANT-2265,Withania somnifera (L.) Dunal,"Punir, Asgandh",SOLANACEAE,FARM-001,2026-08-12,640.01,PASS,CERT-PRE-0020,TRN-LM-0020,MFG-004,2026-08-16,2026-08-16T14:26:44.173233,PASS,CERT-POST-0019,QR-2026-019,PASS,RELEASED,BSI+NMPB,True,29.68,75.63,196.9,False,False,0.0,20.002293,29.497496,69.07368,88.490236,28.19,55.3,101.6,False,False,0.0
MED-2026-020,"Haldi, Halada Capsules",ASH-P-2026-021,ASH-2026-022,PLANT-0638,Curcuma longa L.,"Haldi, Halada",ZINGIBERACEAE,FARM-007,2026-06-27,544.08,PASS,CERT-PRE-0021,TRN-LM-0021,MFG-005,2026-07-12,2026-07-12T14:27:12.284949,PASS,CERT-POST-0020,QR-2026-020,PASS,RELEASED,BSI+NMPB,True,32.82,72.7,209.1,False,False,0.0,20.027536,29.478933,69.084135,88.276696,25.73,61.07,122.9,False,False,0.0
MED-2026-020,"Haldi, Halada Capsules",ASH-P-2026-021,ASH-2026-027,PLANT-0987,Glycyrrhiza glabra L.,"Mulathi,; Jeshtimadhu,; Gulegafis",FABACEAE,FARM-012,2026-07-02,803.65,PASS,CERT-PRE-0021,TRN-LM-0021,MFG-005,2026-07-12,2026-07-12T14:27:12.284949,PASS,CERT-POST-0020,QR-2026-020,PASS,RELEASED,NMPB,True,32.82,72.7,209.1,False,False,0.0,20.027536,29.478933,69.084135,88.276696,25.73,61.07,122.9,False,False,0.0
MED-2026-020,"Haldi, Halada Capsules",ASH-P-2026-021,ASH-2026-032,PLANT-2101,Terminalia chebula (Gaertn.) Retz.,Harre,COMBRETACEAE,FARM-002,2026-07-08,869.34,PASS,CERT-PRE-0021,TRN-LM-0021,MFG-005,2026-07-12,2026-07-12T14:27:12.284949,PASS,CERT-POST-0020,QR-2026-020,PASS,RELEASED,BSI+NMPB,True,32.82,72.7,209.1,False,False,0.0,20.027536,29.478933,69.084135,88.276696,25.73,61.07,122.9,False,False,0.0
MED-2026-021,"Mulathi,; Jeshtimadhu,; Gulegafis Capsules",ASH-P-2026-022,ASH-2026-067,PLANT-0987,Glycyrrhiza glabra L.,"Mulathi,; Jeshtimadhu,; Gulegafis",FABACEAE,FARM-007,2026-08-19,272.88,PASS,CERT-PRE-0022,TRN-LM-0022,MFG-001,2026-08-22,2026-08-22T07:21:55.603877,PASS,CERT-POST-0021,QR-2026-021,PASS,RELEASED,NMPB,True,30.59,81.12,216.7,False,False,0.0,20.050422,29.494177,69.098129,88.454289,23.44,66.07,117.9,False,False,0.0
MED-2026-022,"Satawar, Satmuli (Beng.) Capsules",ASH-P-2026-023,ASH-2026-070,PLANT-0225,Asparagus racemosus Willd.,"Satawar, Satmuli (Beng.)",LILIACEAE,FARM-010,2026-08-23,863.48,PASS,CERT-PRE-0023,TRN-LM-0023,MFG-002,2026-08-26,2026-08-26T10:45:53.180816,PASS,CERT-POST-0022,QR-2026-022,PASS,RELEASED,BSI+NMPB,True,31.09,75.5,212.3,False,False,0.0,20.006544,29.484064,69.232128,88.452244,27.26,65.99,150.0,False,False,0.0
MED-2026-023,Tulasi Herb Capsules,ASH-P-2026-024,ASH-2026-003,PLANT-1513,Ocimum tenuiflorum L.; [= O. sanctum L.],Tulasi Herb,LAMIACEAE,FARM-003,2026-06-04,788.34,PASS,CERT-PRE-0024,TRN-LM-0024,MFG-003,2026-06-06,2026-06-06T12:52:28.916237,PASS,CERT-POST-0023,QR-2026-023,PASS,RELEASED,NMPB,True,30.43,78.04,216.3,False,False,0.0,20.034878,29.498077,69.171355,88.497455,24.12,58.85,110.1,False,False,0.0
MED-2026-024,"Amrita, Giloe Capsules",ASH-P-2026-025,ASH-2026-006,PLANT-2129,Tinospora cordifolia (Willd.) Hook.f. & Thomson,"Amrita, Giloe",MENISPERMACEAE,FARM-006,2026-06-07,254.73,PASS,CERT-PRE-0025,TRN-LM-0025,MFG-004,2026-06-09,2026-06-09T16:20:21.246329,FAIL,CERT-POST-0024,QR-2026-024,FAIL,BLOCKED,BSI+NMPB,True,30.1,74.65,216.7,False,False,0.0,20.040402,29.48339,69.088914,88.418906,24.36,56.58,128.0,False,False,0.0
MED-2026-025,"Kesar, Zafran Capsules",ASH-P-2026-026,ASH-2026-009,PLANT-0604,Crocus sativus L.,"Kesar, Zafran",IRIDACEAE,FARM-009,2026-06-11,190.97,PASS,CERT-PRE-0026,TRN-LM-0026,MFG-005,2026-06-13,2026-06-13T19:55:14.851053,PASS,CERT-POST-0025,QR-2026-025,PASS,RELEASED,BSI+NMPB,True,31.22,74.61,225.4,False,False,0.0,20.029494,29.485865,69.063207,88.337979,25.91,62.55,119.3,False,False,0.0
MED-2026-026,Harre Capsules,ASH-P-2026-027,ASH-2026-012,PLANT-2101,Terminalia chebula (Gaertn.) Retz.,Harre,COMBRETACEAE,FARM-012,2026-06-14,556.8,PASS,CERT-PRE-0027,TRN-LM-0027,MFG-001,2026-06-17,2026-06-17T21:14:36.151936,PASS,CERT-POST-0026,QR-2026-026,PASS,RELEASED,BSI+NMPB,True,31.62,74.1,225.1,False,False,0.0,20.023999,29.47789,69.010217,88.432479,25.65,71.23,83.9,False,False,0.0
MED-2026-027,"Kesar, Zafran Capsules",ASH-P-2026-028,ASH-2026-029,PLANT-0604,Crocus sativus L.,"Kesar, Zafran",IRIDACEAE,FARM-014,2026-07-05,349.5,PASS,CERT-PRE-0028,TRN-LM-0028,MFG-002,2026-07-19,2026-07-19T12:06:50.144997,PASS,CERT-POST-0027,QR-2026-027,PASS,RELEASED,BSI+NMPB,True,32.03,80.97,220.4,False,False,0.0,20.107879,29.491372,69.072675,88.491402,25.45,64.81,116.1,False,False,0.0
MED-2026-027,"Kesar, Zafran Capsules",ASH-P-2026-028,ASH-2026-034,PLANT-0751,Diplocyclos palmatus (L.) C.Jeffrey,Shivling beej,CUCURBITACEAE,FARM-004,2026-07-11,127.84,PASS,CERT-PRE-0028,TRN-LM-0028,MFG-002,2026-07-19,2026-07-19T12:06:50.144997,PASS,CERT-POST-0027,QR-2026-027,PASS,RELEASED,NMPB,True,32.03,80.97,220.4,False,False,0.0,20.107879,29.491372,69.072675,88.491402,25.45,64.81,116.1,False,False,0.0
MED-2026-027,"Kesar, Zafran Capsules",ASH-P-2026-028,ASH-2026-039,PLANT-0887,Ficus amplissima Sm.,Jari,MORACEAE,FARM-009,2026-07-17,570.67,PASS,CERT-PRE-0028,TRN-LM-0028,MFG-002,2026-07-19,2026-07-19T12:06:50.144997,PASS,CERT-POST-0027,QR-2026-027,PASS,RELEASED,BSI,True,32.03,80.97,220.4,False,False,0.0,20.107879,29.491372,69.072675,88.491402,25.45,64.81,116.1,False,False,0.0
MED-2026-028,Arruvanci (Tam.) Capsules,ASH-P-2026-029,ASH-2026-018,PLANT-1090,Humboldtia vahliana Wight,Arruvanci (Tam.),CAESALPINIACEAE,FARM-003,2026-06-21,149.6,PASS,CERT-PRE-0029,TRN-LM-0029,MFG-003,2026-06-24,2026-06-24T07:09:35.343956,PASS,CERT-POST-0028,QR-2026-028,PASS,RELEASED,BSI,True,31.38,79.75,226.5,False,False,0.0,20.027044,29.497895,69.013207,88.493428,24.1,48.85,42.3,False,False,0.0
MED-2026-029,"Punir, Asgandh Capsules",ASH-P-2026-030,ASH-2026-021,PLANT-2265,Withania somnifera (L.) Dunal,"Punir, Asgandh",SOLANACEAE,FARM-006,2026-06-25,808.92,PASS,CERT-PRE-0030,TRN-LM-0030,MFG-004,2026-06-28,2026-06-28T13:58:12.940678,PASS,CERT-POST-0029,QR-2026-029,PASS,RELEASED,BSI+NMPB,True,30.39,74.1,210.9,False,False,0.0,20.034042,29.498098,69.15107,88.351726,24.14,62.96,100.4,False,False,0.0
MED-2026-030,"Mulathi,; Jeshtimadhu,; Gulegafis Capsules",ASH-P-2026-032,ASH-2026-027,PLANT-0987,Glycyrrhiza glabra L.,"Mulathi,; Jeshtimadhu,; Gulegafis",FABACEAE,FARM-012,2026-07-02,803.65,PASS,CERT-PRE-0032,TRN-LM-0032,MFG-005,2026-07-05,2026-07-05T12:48:43.585363,PASS,CERT-POST-0030,QR-2026-030,PASS,RELEASED,NMPB,True,32.8,85.24,216.1,False,False,0.0,20.002921,29.371144,69.014635,88.469629,26.44,58.72,35.6,False,False,0.0
MED-2026-031,"Satawar, Satmuli (Beng.) Capsules",ASH-P-2026-033,ASH-2026-030,PLANT-0225,Asparagus racemosus Willd.,"Satawar, Satmuli (Beng.)",LILIACEAE,FARM-015,2026-07-06,814.74,PASS,CERT-PRE-0033,TRN-LM-0033,MFG-001,2026-07-09,2026-07-09T07:14:33.311821,PASS,CERT-POST-0031,QR-2026-031,PASS,RELEASED,BSI+NMPB,True,30.76,76.72,228.4,False,False,0.0,20.017919,29.40189,69.062904,88.490381,27.72,53.15,110.0,False,False,0.0
MED-2026-032,Bahera Capsules,ASH-P-2026-034,ASH-2026-033,PLANT-2098,Terminalia bellirica (Gaertn.) Roxb.,Bahera,COMBRETACEAE,FARM-003,2026-07-10,392.45,PASS,CERT-PRE-0034,TRN-LM-0034,MFG-002,2026-07-12,2026-07-12T14:17:10.292620,PASS,CERT-POST-0032,QR-2026-032,PASS,RELEASED,BSI+NMPB,True,30.57,80.18,210.6,False,False,0.0,20.047382,29.494979,69.089528,88.437146,25.98,60.88,100.7,False,False,0.0
