plant_id,source,source_record_id,scientific_name_in_master,resolution_status
PLANT-0037,NMPB,22,Aconitum deinorrhizum Stapf,NMPB_ONLY
PLANT-0038,BSI,33,Aconitum falconeri Stapf,MATCHED
PLANT-0038,NMPB,23,Aconitum falconeri Stapf,MATCHED
PLANT-0039,NMPB,24,Aconitum ferox Wall. ex Ser.,NMPB_ONLY
PLANT-0040,BSI,34,Aconitum heterophyllum Wall. ex Royle,MATCHED
PLANT-0040,NMPB,25,Aconitum heterophyllum Wall. ex Royle,MATCHED
PLANT-0041,BSI,35,Aconitum laciniatum (Bruhl) Stapf,MATCHED
PLANT-0041,NMPB,26,Aconitum laciniatum (Bruhl) Stapf,MATCHED
PLANT-0042,BSI,36,Aconitum novoluridum Munz,BSI_ONLY
PLANT-0043,BSI,37,Aconitum spicatum (Bruhl) Stapf,MATCHED
PLANT-0043,NMPB,27,Aconitum spicatum (Bruhl) Stapf,MATCHED
PLANT-0044,BSI,38,Aconitum violaceum Jacq. Ex Stapf,MATCHED
PLANT-0044,NMPB,28,Aconitum violaceum Jacq. Ex Stapf,MATCHED
PLANT-0045,BSI,39,Acorus calamus L.,MATCHED
PLANT-0045,NMPB,29,Acorus calamus L.,MATCHED
PLANT-0046,BSI,40,Acronychia pedunculata (L.) Miq.,BSI_ONLY
PLANT-0047,BSI,41,Actaea spicata L.,BSI_ONLY
PLANT-0048,NMPB,30,Actiniopteris dichotoma Mett.,NMPB_ONLY
PLANT-0049,BSI,42,Actiniopteris radiata(Swartz) Link,BSI_ONLY
PLANT-0050,BSI,43,Actinodaphne hookeri Meissn.,BSI_ONLY
PLANT-0051,BSI,44,Adansonia digitata L.,MATCHED
PLANT-0051,NMPB,31,Adansonia digitata L.,MATCHED
PLANT-0052,BSI,45,Adenanthera pavonia L.,BSI_ONLY
PLANT-0053,NMPB,32,Adenanthera pavonina L.,NMPB_ONLY
PLANT-0054,NMPB,33,Adenia hondala (Gaertn.) W.J. de Wilde,NMPB_ONLY
PLANT-0055,BSI,46,Adenia wightiana (Wall. ex Wight & Arn.) Engl.,BSI_ONLY
PLANT-0056,BSI,47,Adenostemma lavenia (L.) Kuntze,BSI_ONLY
PLANT-0057,NMPB,34,Adhatoda beddomei C.B.Clarke; [= Justicia beddomei (C.B.Clarke),NMPB_ONLY
PLANT-0058,NMPB,35,Adhatoda zeylanica Medik.; [ = A. vasica Nees; Justicia adhatoda L.],NMPB_ONLY
PLANT-0059,BSI,48,Adiantum capillus-veneris L.,MATCHED
PLANT-0059,NMPB,36,Adiantum capillus-veneris L.,MATCHED
PLANT-0060,BSI,49,Adiantum caudatum L.,BSI_ONLY
PLANT-0061,BSI,50,Adiantum philippense L.,MATCHED
PLANT-0061,NMPB,37,Adiantum philippense L.,MATCHED
PLANT-0062,BSI,51,Adiantum venustum D.Don,MATCHED
PLANT-0062,NMPB,38,Adiantum venustum D.Don,MATCHED
PLANT-0063,BSI,52,Adonis aestivalis L.,BSI_ONLY
PLANT-0064,BSI,53,Aegle marmelos (L.) Corr.,MATCHED
PLANT-0064,NMPB,39,Aegle marmelos (L.) Corr.,MATCHED
PLANT-0065,BSI,54,Aerva javanica (Burm.f.) Juss. ex Schult.,BSI_ONLY
PLANT-0066,BSI,55,Aerva lanata (L.) Juss.,MATCHED
PLANT-0066,NMPB,40,Aerva lanata (L.) Juss.,MATCHED
PLANT-0067,BSI,56,Aesculus indica Colebr. ex Camb.,MATCHED
PLANT-0067,NMPB,41,Aesculus indica Colebr. ex Camb.,MATCHED
PLANT-0068,BSI,57,Aganosma caryophyllata G.Don,BSI_ONLY
PLANT-0069,BSI,58,Agave americana Blanco,BSI_ONLY
PLANT-0070,BSI,60,Agave angustifolia Haw.,BSI_ONLY
PLANT-0071,BSI,61,Agave sisalana Perr. ex Engelm.,BSI_ONLY
PLANT-0072,BSI,62,Ageratum conyzoides L.,MATCHED
PLANT-0072,NMPB,42,Ageratum conyzoides L.,MATCHED
PLANT-0073,BSI,63,Aglaia elaeagnoidea (Juss.) Benth.,MATCHED
PLANT-0073,NMPB,43,Aglaia elaeagnoidea (Juss.) Benth.,MATCHED
PLANT-0074,NMPB,44,Aglaia odorata Lour.,NMPB_ONLY
PLANT-0075,BSI,64,Agropyron repens (L.) Beauv.,BSI_ONLY
PLANT-0076,BSI,65,Ailanthus altissima (Mill.) Swingle,BSI_ONLY
PLANT-0077,BSI,66,Ailanthus excelsa Roxb.,MATCHED
PLANT-0077,NMPB,45,Ailanthus excelsa Roxb.,MATCHED
PLANT-0078,BSI,67,Ailanthus triphysa (Dennst.) Alston,MATCHED
PLANT-0078,NMPB,46,Ailanthus triphysa (Dennst.) Alston,MATCHED
PLANT-0079,NMPB,47,Ainsliaea aptera DC.,NMPB_ONLY
PLANT-0080,BSI,68,Ajuga bracteosa Wall. ex Benth.,MATCHED
PLANT-0080,NMPB,48,Ajuga bracteosa Wall. ex Benth.,MATCHED
PLANT-0081,BSI,69,Alangium salvifolium (L.f.) Wang.,MATCHED
PLANT-0081,NMPB,49,Alangium salvifolium (L.f.) Wang.,MATCHED
PLANT-0082,NMPB,50,Albizia amara (Roxb.) Boivin,NMPB_ONLY
PLANT-0083,NMPB,51,Albizia lebbeck (L.) Benth.,NMPB_ONLY
PLANT-0084,NMPB,52,Albizia marginata Merr.,NMPB_ONLY
PLANT-0085,NMPB,53,Albizia odoratissima (L.f.) Benth.,NMPB_ONLY
PLANT-0086,BSI,70,Albizzia amara (Roxb.) Boivin,BSI_ONLY
PLANT-0087,BSI,71,Albizzia lebbeck (L.) Willd.,BSI_ONLY
PLANT-0088,BSI,72,Albizzia odoratissima (L.f.) Benth.,BSI_ONLY
PLANT-0089,BSI,73,Aleurites mollucana Willd.,BSI_ONLY
PLANT-0090,NMPB,54,Alhagi pseudalhagi (M.Bieb.) Desv.,NMPB_ONLY
PLANT-0091,BSI,74,Alhagi pseudoalhagi (Bieb.) Desv.,BSI_ONLY
PLANT-0092,BSI,76,Allamanda cathartica L.,BSI_ONLY
PLANT-0093,NMPB,55,Allium ampeloprasum L.,NMPB_ONLY
PLANT-0094,BSI,77,Allium cepa L.,MATCHED
PLANT-0094,NMPB,56,Allium cepa L.,MATCHED
PLANT-0095,BSI,78,Allium macleanii Baker,BSI_ONLY
PLANT-0096,NMPB,57,Allium sativum L.,NMPB_ONLY
PLANT-0097,NMPB,58,Allium stracheyi Baker,NMPB_ONLY
PLANT-0098,BSI,79,Alnus nepalensis D.Don,BSI_ONLY
PLANT-0099,BSI,80,Alnus nitida Endl.,BSI_ONLY
PLANT-0100,BSI,81,Alocasia macrorrhizos (L.) G.Don,BSI_ONLY
PLANT-0101,NMPB,59,Aloe barbadensis Mill.; [ = A. vera (L.) Burm.f.],NMPB_ONLY
PLANT-0102,BSI,82,Aloe vera (L.) Burm.f.,BSI_ONLY
PLANT-0103,BSI,83,Aloysia triphylla (L'Herit) Britton,BSI_ONLY
PLANT-0104,NMPB,60,Alpinia calcarata (Haw.) Roscoe,NMPB_ONLY
PLANT-0105,BSI,84,Alpinia galanga (L.) Willd.,MATCHED
PLANT-0105,NMPB,61,Alpinia galanga (L.) Willd.,MATCHED
PLANT-0106,BSI,85,Alpinia nigra (Gaertn.) B.L.Burtt,BSI_ONLY
PLANT-0107,NMPB,62,Alpinia officinarum Hance,NMPB_ONLY
PLANT-0108,BSI,86,Alstonia scholaris (L.) R.Br.,MATCHED
PLANT-0108,NMPB,63,Alstonia scholaris (L.) R.Br.,MATCHED
PLANT-0109,BSI,87,Alstonia venenata R.Br.,MATCHED
PLANT-0109,NMPB,64,Alstonia venenata R.Br.,MATCHED
PLANT-0110,BSI,88,Alternanthera sessilis (L.) R.Br. ex. DC.,MATCHED
PLANT-0110,NMPB,65,Alternanthera sessilis (L.) R.Br. ex. DC.,MATCHED
PLANT-0111,BSI,89,Althaea officinalis L.,MATCHED
PLANT-0111,NMPB,66,Althaea officinalis L.,MATCHED
PLANT-0112,BSI,90,Althaea rosea (L.) Cav.,BSI_ONLY
PLANT-0113,BSI,91,Altingia excelsa Noronha,MATCHED
PLANT-0113,NMPB,67,Altingia excelsa Noronha,MATCHED
PLANT-0114,BSI,92,Alysicarpus longifolius (Rottler ex Spreng.) Wight & Arn.,BSI_ONLY
PLANT-0115,BSI,93,Alysicarpus vaginalis (L.) DC.,BSI_ONLY
PLANT-0116,BSI,97,Amaranthus caudatus L.,BSI_ONLY
PLANT-0117,BSI,94,Amaranthus lividus L.,BSI_ONLY
PLANT-0118,NMPB,68,Amaranthus paniculatus L.,NMPB_ONLY
PLANT-0119,BSI,98,Amaranthus spinosus L.,MATCHED
PLANT-0119,NMPB,69,Amaranthus spinosus L.,MATCHED
PLANT-0120,BSI,95,Amaranthus tricolor L.,MATCHED
PLANT-0120,NMPB,70,Amaranthus tricolor L.,MATCHED
PLANT-0121,BSI,96,Amaranthus viridis L.,BSI_ONLY
PLANT-0122,NMPB,71,Ambroma augusta (L.) L.f.,NMPB_ONLY
PLANT-0123,BSI,99,Ammania auriculata Willd.,BSI_ONLY
PLANT-0124,BSI,100,Ammania baccifera L.,BSI_ONLY
PLANT-0125,NMPB,72,Ammannia baccifera L.,NMPB_ONLY
PLANT-0126,NMPB,73,Ammi majus L.,NMPB_ONLY
PLANT-0127,BSI,101,Ammi visnaga (L.) Lam.,BSI_ONLY
PLANT-0128,BSI,102,Amomum aromaticum Roxb.,MATCHED
PLANT-0128,NMPB,74,Amomum aromaticum Roxb.,MATCHED
PLANT-0129,NMPB,75,Amomum kepulaga Sprague,NMPB_ONLY
PLANT-0130,BSI,103,Amomum subulatum Roxb.,MATCHED
PLANT-0130,NMPB,76,Amomum subulatum Roxb.,MATCHED
PLANT-0131,NMPB,77,Amorphophallus dubius Blume,NMPB_ONLY
PLANT-0132,BSI,104,Amorphophallus paeoniifolius (Dennst.) Nicolson,MATCHED
PLANT-0132,NMPB,78,Amorphophallus paeoniifolius (Dennst.) Nicolson,MATCHED
PLANT-0133,NMPB,79,Amorphophallus sylvaticus (Roxb.),NMPB_ONLY
PLANT-0134,BSI,105,Ampelocissus areneosa (Laws.) Planch.,BSI_ONLY
PLANT-0135,BSI,106,Ampelocissus arnottiana (Wight & Arn.) Planch.,BSI_ONLY
PLANT-0136,BSI,107,Ampelocissus latifolia (Roxb.) Planch.,BSI_ONLY
PLANT-0137,BSI,108,Ampelocissus tomentosa (Roth) Planch.,BSI_ONLY
PLANT-0138,BSI,109,Anacardium occidentale L.,MATCHED
PLANT-0138,NMPB,80,Anacardium occidentale L.,MATCHED
PLANT-0139,NMPB,81,Anacyclus pyrethrum (L.) Cass.,NMPB_ONLY
PLANT-0140,BSI,110,Anagallis arvensis L.,BSI_ONLY
PLANT-0141,NMPB,82,Anamirta cocculus (L.) Wight & Arn.,NMPB_ONLY
PLANT-0142,BSI,111,Anamitra cocculus Wight & Arn.,BSI_ONLY
PLANT-0143,BSI,112,Ananas comosus (L.) Merr.,BSI_ONLY
PLANT-0144,BSI,113,Anaphalis neelgerryana DC.,BSI_ONLY
PLANT-0145,NMPB,83,Anchusa strigosa Labill.,NMPB_ONLY
PLANT-0146,BSI,114,Andrographis echinoides (L.) Nees,BSI_ONLY
PLANT-0147,BSI,115,Andrographis paniculata (Burm.) Wall. ex Nees,MATCHED
PLANT-0147,NMPB,84,Andrographis paniculata (Burm.) Wall. ex Nees,MATCHED
PLANT-0148,BSI,116,Andropogon sorghum (L.) Brot.,BSI_ONLY
PLANT-0149,BSI,117,Anemone narcissiflora L.,BSI_ONLY
PLANT-0150,BSI,118,Anemone obtusiloba D. Don,BSI_ONLY
PLANT-0151,NMPB,85,Anethum graveolens L.; [ = A.sowa Roxb. ex Flem.],NMPB_ONLY
PLANT-0152,BSI,119,Angelica archangelica L.,MATCHED
PLANT-0152,NMPB,86,Angelica archangelica L.,MATCHED
PLANT-0153,NMPB,87,Angelica glauca Edgew.,NMPB_ONLY
PLANT-0154,BSI,120,Aniseia martinicensis (Jacq.) Choisy.,BSI_ONLY
PLANT-0155,BSI,121,Anisochilus carnosus (Linn.f.) Wall.,BSI_ONLY
PLANT-0156,BSI,122,Anisomeles indica (L.) Kuntze,BSI_ONLY
PLANT-0157,BSI,123,Anisomeles malabarica (L.) R.Br.,MATCHED
PLANT-0157,NMPB,88,Anisomeles malabarica (L.) R.Br.,MATCHED
PLANT-0158,BSI,124,Annona muricata L.,BSI_ONLY
PLANT-0159,BSI,125,Annona reticulata L.,BSI_ONLY
PLANT-0160,BSI,126,Annona squamosa L.,BSI_ONLY
PLANT-0161,BSI,127,Anodendron paniculatum A.DC.,MATCHED
PLANT-0161,NMPB,89,Anodendron paniculatum A.DC.,MATCHED
PLANT-0162,BSI,128,Anogeissus latifolia (Roxb. ex. DC.) Wall. ex. Guill. &,MATCHED
PLANT-0162,NMPB,90,Anogeissus latifolia (Roxb. ex. DC.) Wall. ex. Guill. &,MATCHED
PLANT-0163,BSI,129,Anthemis cotula L.,BSI_ONLY
PLANT-0164,BSI,130,Anthemis nobilis L.,MATCHED
PLANT-0164,NMPB,91,Anthemis nobilis L.,MATCHED
PLANT-0165,NMPB,92,Anthocephalus cadamba (Roxb.)Miq.,NMPB_ONLY
PLANT-0166,BSI,131,Anthoxanthum odoratum L.,BSI_ONLY
PLANT-0167,BSI,132,Anthriscus cerefolium Hoffm.,BSI_ONLY
PLANT-0168,BSI,133,Antiaris toxicaria (Pers.) Lesch.,BSI_ONLY
PLANT-0169,BSI,134,Antidesma bunius Spreng.,BSI_ONLY
PLANT-0170,BSI,135,Apama siliquosa Lam.,BSI_ONLY
PLANT-0171,BSI,136,Aphanamixis polystachya (Wall.) R.Parker,MATCHED
PLANT-0171,NMPB,93,Aphanamixis polystachya (Wall.) R.Parker,MATCHED
PLANT-0172,NMPB,94,Aphananthe cuspidata (Blume) Planch.,NMPB_ONLY
PLANT-0173,BSI,137,Apium graveolens L.,MATCHED
PLANT-0173,NMPB,95,Apium graveolens L.,MATCHED
PLANT-0174,NMPB,96,Aquilaria agallocha Roxb.,NMPB_ONLY
PLANT-0175,BSI,138,Aquilegia vulgaris L.,BSI_ONLY
PLANT-0176,BSI,139,Arachis hypogaea L.,BSI_ONLY
PLANT-0177,BSI,140,Arachne cordifolia (Decne.) Hurus.,BSI_ONLY
PLANT-0178,BSI,141,Arctium lappa L.,MATCHED
PLANT-0178,NMPB,97,Arctium lappa L.,MATCHED
PLANT-0179,BSI,142,Ardisia solanacea (Poir.) Roxb.,BSI_ONLY
PLANT-0180,BSI,143,Areca catechu L.,MATCHED
PLANT-0180,NMPB,98,Areca catechu L.,MATCHED
PLANT-0181,BSI,144,Areca triandra Roxb. ex Buch.-Ham.,BSI_ONLY
PLANT-0182,BSI,145,Arenga saccharifera Labill.,BSI_ONLY
PLANT-0183,BSI,146,Argemone mexicana L.,MATCHED
PLANT-0183,NMPB,99,Argemone mexicana L.,MATCHED
PLANT-0184,BSI,147,Argyreia cuneata (Willd.) Ker.-Gawl,BSI_ONLY
PLANT-0185,BSI,148,Argyreia imbricata (Roth) Santapau & V.Patel,BSI_ONLY
PLANT-0186,BSI,149,Argyreia nervosa (Burm.f.) Boj.,BSI_ONLY
PLANT-0187,NMPB,100,Argyreia speciosa (L.f.) Sweet; [ = A. nervosa (Burm.f.) Bojer],NMPB_ONLY
PLANT-0188,BSI,150,Arisaema leschenaultii Blume,BSI_ONLY
PLANT-0189,BSI,151,Arisaema speciosum (Wall.) Mart.,BSI_ONLY
PLANT-0190,BSI,152,Arisaema tortuosum (Wall.) Schott,BSI_ONLY
PLANT-0191,BSI,153,Aristida depressa Retz.,BSI_ONLY
PLANT-0192,BSI,154,Aristolochia bracteolata Lam.,MATCHED
PLANT-0192,NMPB,101,Aristolochia bracteolata Lam.,MATCHED
PLANT-0193,BSI,155,Aristolochia indica L.,MATCHED
PLANT-0193,NMPB,102,Aristolochia indica L.,MATCHED
PLANT-0194,NMPB,103,Aristolochia rotunda L,NMPB_ONLY
PLANT-0195,BSI,156,Aristolochia tagala Chem.,MATCHED
PLANT-0195,NMPB,104,Aristolochia tagala Chem.,MATCHED
PLANT-0196,BSI,157,Arnebia benthamii (Wall.ex G. Don) Johnston,MATCHED
PLANT-0196,NMPB,105,Arnebia benthamii (Wall.ex G. Don) Johnston,MATCHED
PLANT-0197,BSI,158,Arnebia euchroma (Royle) Johnston,MATCHED
PLANT-0197,NMPB,106,Arnebia euchroma (Royle) Johnston,MATCHED
PLANT-0198,NMPB,107,Arnebia nobilis Rech.f.,NMPB_ONLY
PLANT-0199,BSI,159,Arnica montana L.,BSI_ONLY
PLANT-0200,BSI,160,Artabotrys hexapetalus (L.f.) Bhandari,MATCHED
PLANT-0200,NMPB,108,Artabotrys hexapetalus (L.f.) Bhandari,MATCHED
PLANT-0201,BSI,161,Artabotrys suaveolens Blume,BSI_ONLY
PLANT-0202,BSI,162,Artanema longifolium (L). Vatke,BSI_ONLY
PLANT-0203,NMPB,109,Artemisia absinthium L.,NMPB_ONLY
PLANT-0204,BSI,163,Artemisia absynthium L.,BSI_ONLY
PLANT-0205,BSI,164,Artemisia dracunculcus L.,BSI_ONLY
PLANT-0206,BSI,165,Artemisia indica Willd.,BSI_ONLY
PLANT-0207,BSI,166,Artemisia maritima L.,MATCHED
PLANT-0207,NMPB,110,Artemisia maritima L.,MATCHED
PLANT-0208,BSI,167,Artemisia nilagirica (C.B.Clarke) Pamp.,MATCHED
PLANT-0208,NMPB,111,Artemisia nilagirica (C.B.Clarke) Pamp.,MATCHED
PLANT-0209,NMPB,112,Artemisia pallens Wall. ex DC.,NMPB_ONLY
PLANT-0210,NMPB,113,Artemisia parviflora Roxb. ex D.Don,NMPB_ONLY
PLANT-0211,BSI,168,Artemisia persica Boiss.,BSI_ONLY
PLANT-0212,BSI,169,Artemisia roxburghiana Wall. ex. Besser,BSI_ONLY
PLANT-0213,BSI,170,Artemisia sacrorum Ledeb.,BSI_ONLY
PLANT-0214,BSI,171,Artemisia scoparia Waldst. & Kit.,BSI_ONLY
PLANT-0215,BSI,172,Artemisia sivarsiana Ehrh. Ex. Willd.,BSI_ONLY
PLANT-0216,BSI,173,Arthrocnemum indicum (Willd.) Moq.,BSI_ONLY
PLANT-0217,BSI,174,Artocarpus heterophyllus Lam.,MATCHED
PLANT-0217,NMPB,114,Artocarpus heterophyllus Lam.,MATCHED
PLANT-0218,BSI,175,Artocarpus lakoocha Roxb.,BSI_ONLY
PLANT-0219,BSI,176,Arundo donax L.,MATCHED
PLANT-0219,NMPB,115,Arundo donax L.,MATCHED
PLANT-0220,BSI,177,Asclepias curassavica L.,BSI_ONLY
PLANT-0221,BSI,178,Asparagus adscendens Roxb.,MATCHED
PLANT-0221,NMPB,116,Asparagus adscendens Roxb.,MATCHED
PLANT-0222,BSI,179,Asparagus filicinus Buch.-Ham ex D. Don,BSI_ONLY
PLANT-0223,BSI,180,Asparagus gonocladus Baker,BSI_ONLY
PLANT-0224,BSI,181,Asparagus officinalis L.,BSI_ONLY
PLANT-0225,BSI,182,Asparagus racemosus Willd.,MATCHED
PLANT-0225,NMPB,117,Asparagus racemosus Willd.,MATCHED
PLANT-0226,NMPB,118,Asparagus sarmentosus L.,NMPB_ONLY
PLANT-0227,BSI,183,Asplenium adiantum-nigrum L.,BSI_ONLY
PLANT-0228,BSI,184,Astragalus strobiliferus Royle ex Benth.,BSI_ONLY
PLANT-0229,BSI,185,Astragalus tribuloides Delile,BSI_ONLY
PLANT-0230,BSI,186,Asystasia gangetica (L.) T.Anderson,BSI_ONLY
PLANT-0231,NMPB,119,Atalantia monophylla (L.) DC.,NMPB_ONLY
PLANT-0232,BSI,187,Atriplex hortensis L.,BSI_ONLY
PLANT-0233,BSI,188,Atropa acuminata Royle,MATCHED
PLANT-0233,NMPB,120,Atropa acuminata Royle,MATCHED
PLANT-0234,BSI,189,Atropa belladona L.,BSI_ONLY
PLANT-0235,NMPB,121,Atropa belladonna L.,NMPB_ONLY
PLANT-0236,NMPB,122,Atylosia goensis (Dalzell) Dalzell,NMPB_ONLY
PLANT-0237,NMPB,123,Atylosia scarabeoides (L.) Benth.,NMPB_ONLY
PLANT-0238,BSI,190,Atylosia scrabaeoides (L.) Benth.,BSI_ONLY
PLANT-0239,BSI,191,Avena fatua L.,BSI_ONLY
PLANT-0240,BSI,192,Avena sativa L.,BSI_ONLY
PLANT-0241,BSI,193,Averrhoa bilimbi L.,BSI_ONLY
PLANT-0242,BSI,194,Avicennia officinalis L.,BSI_ONLY
PLANT-0243,BSI,195,Azadirachta indica (L.) A.Juss.,MATCHED
PLANT-0243,NMPB,124,Azadirachta indica (L.) A.Juss.,MATCHED
PLANT-0244,BSI,196,Azanza lampas (Cav.) Alef.,BSI_ONLY
PLANT-0245,BSI,197,Azima tetracantha Lam.,MATCHED
PLANT-0245,NMPB,125,Azima tetracantha Lam.,MATCHED
PLANT-0246,BSI,198,Bacopa monnieri (L.) Pennell,MATCHED
PLANT-0246,NMPB,126,Bacopa monnieri (L.) Pennell,MATCHED
PLANT-0247,BSI,199,Balanites aegyptiaca (L.) Delile,MATCHED
PLANT-0247,NMPB,127,Balanites aegyptiaca (L.) Delile,MATCHED
PLANT-0248,NMPB,128,Balanophora fungosa J.R.Forst.,NMPB_ONLY
PLANT-0249,BSI,200,Baliospermum montanum (Willd.) Muell.Arg.,MATCHED
PLANT-0249,NMPB,129,Baliospermum montanum (Willd.) Muell.Arg.,MATCHED
PLANT-0250,NMPB,130,Bambusa arundinacea (Retz.) Willd.,NMPB_ONLY
PLANT-0251,BSI,201,Bambusa bambos Druce,BSI_ONLY
PLANT-0252,NMPB,131,Bandeiraea simplicifolia (M.Vahl ex,NMPB_ONLY
PLANT-0253,BSI,202,Barleria buxifolia L.,BSI_ONLY
PLANT-0254,BSI,203,Barleria courtallica Nees,BSI_ONLY
PLANT-0255,BSI,204,Barleria cristata L.,MATCHED
PLANT-0255,NMPB,132,Barleria cristata L.,MATCHED
PLANT-0256,BSI,205,Barleria longiflora L.f.,BSI_ONLY
PLANT-0257,BSI,206,Barleria noctiflora L.f.,BSI_ONLY
PLANT-0258,BSI,207,Barleria prionitis L.,MATCHED
PLANT-0258,NMPB,133,Barleria prionitis L.,MATCHED
PLANT-0259,BSI,208,Barleria strigosa Willd.,MATCHED
PLANT-0259,NMPB,134,Barleria strigosa Willd.,MATCHED
PLANT-0260,BSI,209,Barringtonia acutangula (L.) Gaertn.,MATCHED
PLANT-0260,NMPB,135,Barringtonia acutangula (L.) Gaertn.,MATCHED
PLANT-0261,BSI,210,Barringtonia racemosa (L.) Roxb.,MATCHED
PLANT-0261,NMPB,136,Barringtonia racemosa (L.) Roxb.,MATCHED
PLANT-0262,NMPB,137,Basella alba L.,NMPB_ONLY
PLANT-0263,BSI,211,Basella rubra L.,BSI_ONLY
PLANT-0264,BSI,212,Bauhinia malabarica Roxb.,MATCHED
PLANT-0264,NMPB,138,Bauhinia malabarica Roxb.,MATCHED
PLANT-0265,BSI,213,Bauhinia purpurea L.,MATCHED
PLANT-0265,NMPB,139,Bauhinia purpurea L.,MATCHED
PLANT-0266,BSI,214,Bauhinia racemosa Lam.,MATCHED
PLANT-0266,NMPB,140,Bauhinia racemosa Lam.,MATCHED
PLANT-0267,BSI,215,Bauhinia retusa Ham. ex. DC.,BSI_ONLY
PLANT-0268,NMPB,141,Bauhinia tomentosa L.,NMPB_ONLY
PLANT-0269,BSI,216,Bauhinia vahlii Wight & Arn.,MATCHED
PLANT-0269,NMPB,142,Bauhinia vahlii Wight & Arn.,MATCHED
