event_type,batch_id,event_timestamp,actor_or_source,destination,status
BATCH_CREATED,ASH-2026-029,2026-07-05T13:24:00,FARM-014,,VERIFIED
BATCH_CREATED,ASH-2026-030,2026-07-06T03:12:00,FARM-015,,VERIFIED
BATCH_CREATED,ASH-2026-031,2026-07-07T11:00:00,FARM-001,,VERIFIED
BATCH_CREATED,ASH-2026-032,2026-07-08T18:48:00,FARM-002,,VERIFIED
BATCH_CREATED,ASH-2026-033,2026-07-10T02:36:00,FARM-003,,VERIFIED
BATCH_CREATED,ASH-2026-034,2026-07-11T10:24:00,FARM-004,,VERIFIED
BATCH_CREATED,ASH-2026-035,2026-07-12T18:12:00,FARM-005,,VERIFIED
BATCH_CREATED,ASH-2026-036,2026-07-13T08:00:00,FARM-006,,VERIFIED
BATCH_CREATED,ASH-2026-037,2026-07-14T15:48:00,FARM-007,,VERIFIED
BATCH_CREATED,ASH-2026-038,2026-07-15T23:36:00,FARM-008,,VERIFIED
BATCH_CREATED,ASH-2026-039,2026-07-17T07:24:00,FARM-009,,VERIFIED
BATCH_CREATED,ASH-2026-040,2026-07-18T15:12:00,FARM-010,,VERIFIED
BATCH_CREATED,ASH-2026-041,2026-07-19T23:00:00,FARM-011,,VERIFIED
BATCH_CREATED,ASH-2026-042,2026-07-20T12:48:00,FARM-012,,VERIFIED
BATCH_CREATED,ASH-2026-043,2026-07-21T20:36:00,FARM-013,,VERIFIED
BATCH_CREATED,ASH-2026-044,2026-07-23T04:24:00,FARM-014,,VERIFIED
BATCH_CREATED,ASH-2026-045,2026-07-24T12:12:00,FARM-015,,VERIFIED
BATCH_CREATED,ASH-2026-046,2026-07-25T20:00:00,FARM-001,,VERIFIED
BATCH_CREATED,ASH-2026-047,2026-07-27T03:48:00,FARM-002,,VERIFIED
BATCH_CREATED,ASH-2026-048,2026-07-27T17:36:00,FARM-003,,VERIFIED
BATCH_CREATED,ASH-2026-049,2026-07-29T01:24:00,FARM-004,,VERIFIED
BATCH_CREATED,ASH-2026-050,2026-07-30T09:12:00,FARM-005,,VERIFIED
BATCH_CREATED,ASH-2026-051,2026-07-31T17:00:00,FARM-006,,VERIFIED
BATCH_CREATED,ASH-2026-052,2026-08-02T00:48:00,FARM-007,,VERIFIED
BATCH_CREATED,ASH-2026-053,2026-08-03T08:36:00,FARM-008,,VERIFIED
BATCH_CREATED,ASH-2026-054,2026-08-03T22:24:00,FARM-009,,VERIFIED
BATCH_CREATED,ASH-2026-055,2026-08-05T06:12:00,FARM-010,,VERIFIED
BATCH_CREATED,ASH-2026-056,2026-08-06T14:00:00,FARM-011,,VERIFIED
BATCH_CREATED,ASH-2026-057,2026-08-07T21:48:00,FARM-012,,VERIFIED
BATCH_CREATED,ASH-2026-058,2026-08-09T05:36:00,FARM-013,,VERIFIED
BATCH_CREATED,ASH-2026-059,2026-08-10T13:24:00,FARM-014,,VERIFIED
BATCH_CREATED,ASH-2026-060,2026-08-11T03:12:00,FARM-015,,VERIFIED
BATCH_CREATED,ASH-2026-061,2026-08-12T11:00:00,FARM-001,,VERIFIED
BATCH_CREATED,ASH-2026-062,2026-08-13T18:48:00,FARM-002,,VERIFIED
BATCH_CREATED,ASH-2026-063,2026-08-15T02:36:00,FARM-003,,VERIFIED
BATCH_CREATED,ASH-2026-064,2026-08-16T10:24:00,FARM-004,,VERIFIED
BATCH_CREATED,ASH-2026-065,2026-08-17T18:12:00,FARM-005,,VERIFIED
BATCH_CREATED,ASH-2026-066,2026-08-18T08:00:00,FARM-006,,VERIFIED
BATCH_CREATED,ASH-2026-067,2026-08-19T15:48:00,FARM-007,,VERIFIED
BATCH_CREATED,ASH-2026-068,2026-08-20T23:36:00,FARM-008,,VERIFIED
BATCH_CREATED,ASH-2026-069,2026-08-22T07:24:00,FARM-009,,VERIFIED
BATCH_CREATED,ASH-2026-070,2026-08-23T15:12:00,FARM-010,,VERIFIED
RAW_TO_PROCESSOR,ASH-2026-001,2026-06-01T21:18:27.517480,FARM-001,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-002,2026-06-03T10:28:16.964326,FARM-002,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-003,2026-06-04T09:15:02.388205,FARM-003,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-004,2026-06-06T00:12:00.795638,FARM-004,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-005,2026-06-07T03:56:12.518003,FARM-005,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-006,2026-06-07T12:54:24.167511,FARM-006,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-007,2026-06-09T03:41:52.337763,FARM-007,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-008,2026-06-10T13:48:50.536226,FARM-008,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-009,2026-06-11T15:29:44.258857,FARM-009,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-010,2026-06-13T00:41:00.420398,FARM-010,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-011,2026-06-14T11:10:48.717052,FARM-011,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-012,2026-06-15T03:21:57.235180,FARM-012,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-013,2026-06-16T05:08:52.026378,FARM-013,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-014,2026-06-17T12:13:54.890795,FARM-014,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-015,2026-06-18T18:47:30.043294,FARM-015,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-016,2026-06-20T03:05:56.794841,FARM-001,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-017,2026-06-21T12:32:12.638754,FARM-002,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-018,2026-06-22T04:13:36.380705,FARM-003,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-019,2026-06-23T12:37:50.130442,FARM-004,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-020,2026-06-24T21:56:08.539883,FARM-005,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-021,2026-06-26T02:09:00.551455,FARM-006,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-022,2026-06-27T15:01:45.993894,FARM-007,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-023,2026-06-28T19:07:57.258805,FARM-008,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-024,2026-06-29T04:18:19.182890,FARM-009,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-025,2026-06-30T12:29:08.259520,FARM-010,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-026,2026-07-02T00:06:20.014793,FARM-011,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-027,2026-07-03T10:00:05.545632,FARM-012,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-028,2026-07-04T13:58:58.751106,FARM-013,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-029,2026-07-06T00:05:21.845695,FARM-014,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-030,2026-07-06T17:38:12.745816,FARM-015,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-031,2026-07-08T00:02:13.262648,FARM-001,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-032,2026-07-09T02:40:24.736089,FARM-002,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-033,2026-07-10T11:52:46.447585,FARM-003,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-034,2026-07-11T20:35:49.437819,FARM-004,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-035,2026-07-13T04:28:44.493070,FARM-005,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-036,2026-07-13T15:36:22.986256,FARM-006,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-037,2026-07-14T23:31:30.585264,FARM-007,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-038,2026-07-16T14:16:20.818814,FARM-008,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-039,2026-07-17T15:08:30.376571,FARM-009,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-040,2026-07-19T04:10:57.117011,FARM-010,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-041,2026-07-20T07:56:55.666832,FARM-011,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-042,2026-07-20T17:35:34.496850,FARM-012,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-043,2026-07-22T05:42:20.345013,FARM-013,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-044,2026-07-23T15:38:44.236018,FARM-014,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-045,2026-07-24T23:32:56.321554,FARM-015,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-046,2026-07-26T05:22:23.847333,FARM-001,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-047,2026-07-27T15:00:26.219215,FARM-002,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-048,2026-07-28T04:54:01.690319,FARM-003,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-049,2026-07-29T09:12:53.746316,FARM-004,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-050,2026-07-31T00:15:18.180759,FARM-005,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-051,2026-08-01T05:59:34.354385,FARM-006,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-052,2026-08-02T09:28:27.291427,FARM-007,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-053,2026-08-03T14:12:33.357600,FARM-008,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-054,2026-08-04T11:57:52.166127,FARM-009,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-055,2026-08-05T17:36:01.423234,FARM-010,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-056,2026-08-07T02:42:35.104483,FARM-011,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-057,2026-08-08T04:29:33.616983,FARM-012,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-058,2026-08-09T20:45:50.411985,FARM-013,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-059,2026-08-10T18:34:16.584602,FARM-014,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-060,2026-08-11T11:17:29.619376,FARM-015,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-061,2026-08-12T22:10:12.064046,FARM-001,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-062,2026-08-14T03:56:13.252383,FARM-002,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-063,2026-08-15T11:52:37.512632,FARM-003,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-064,2026-08-16T16:50:11.781218,FARM-004,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-065,2026-08-18T00:43:53.914247,FARM-005,PROC-005,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-066,2026-08-18T12:45:44.589189,FARM-006,PROC-001,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-067,2026-08-20T01:46:48.558444,FARM-007,PROC-002,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-068,2026-08-21T14:01:15.322250,FARM-008,PROC-003,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-069,2026-08-22T16:46:31.479579,FARM-009,PROC-004,DELIVERED
RAW_TO_PROCESSOR,ASH-2026-070,2026-08-24T01:32:57.108397,FARM-010,PROC-005,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-001,2026-06-04T17:18:35.492347,PROC-001,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-002,2026-06-07T18:47:47.982473,PROC-002,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-003,2026-06-09T17:22:39.282584,PROC-003,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-004,2026-06-11T18:36:48.502084,PROC-004,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-005,2026-06-14T17:25:39.600436,PROC-005,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-006,2026-06-16T19:52:01.064589,PROC-001,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-007,2026-06-18T16:47:15.808814,PROC-002,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-008,2026-06-23T17:41:22.811502,PROC-003,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-009,2026-06-23T15:12:47.588082,PROC-004,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-010,2026-06-25T15:37:12.932346,PROC-005,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-011,2026-06-28T18:33:13.230400,PROC-001,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-012,2026-07-02T15:47:12.553175,PROC-002,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-013,2026-07-20T14:12:03.923545,PROC-003,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-014,2026-07-01T16:21:31.125727,PROC-004,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-015,2026-07-27T19:28:05.296361,PROC-005,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-016,2026-07-31T17:00:50.879977,PROC-001,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-017,2026-08-03T17:54:05.732994,PROC-002,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-018,2026-08-06T21:27:17.621242,PROC-003,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-019,2026-08-12T14:28:20.346489,PROC-004,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-020,2026-08-15T19:00:34.234488,PROC-005,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-021,2026-07-11T20:30:37.364226,PROC-001,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-022,2026-08-21T16:14:07.868182,PROC-002,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-023,2026-08-25T18:23:55.664940,PROC-003,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-024,2026-06-05T19:59:46.417331,PROC-004,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-025,2026-06-08T17:33:45.404389,PROC-005,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-026,2026-06-12T18:58:20.609424,PROC-001,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-027,2026-06-16T22:18:04.547103,PROC-002,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-028,2026-07-18T17:41:48.881580,PROC-003,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-029,2026-06-23T16:26:09.712985,PROC-004,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-030,2026-06-27T16:07:55.538562,PROC-005,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-031,2026-07-01T20:04:24.307784,PROC-001,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-032,2026-07-04T14:45:30.048447,PROC-002,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-033,2026-07-08T15:53:11.897199,PROC-003,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-034,2026-07-11T16:48:58.244705,PROC-004,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-035,2026-07-28T15:06:13.701069,PROC-005,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-036,2026-07-19T17:18:41.924954,PROC-001,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-037,2026-07-23T15:45:42.817521,PROC-002,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-038,2026-07-26T18:13:11.800021,PROC-003,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-039,2026-07-29T20:35:41.688956,PROC-004,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-040,2026-08-02T16:33:09.851496,PROC-005,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-041,2026-08-06T19:14:53.883857,PROC-001,LAB-001,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-042,2026-08-04T18:08:13.078783,PROC-002,LAB-002,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-043,2026-08-14T16:18:16.443051,PROC-003,LAB-003,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-044,2026-08-17T21:30:35.441893,PROC-004,LAB-004,DELIVERED
PROCESSOR_TO_LAB,ASH-P-2026-045,2026-08-21T18:28:59.807701,PROC-005,LAB-001,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-001,2026-06-05T07:23:32.285743,LAB-001,MFG-001,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-002,2026-06-08T06:43:06.880124,LAB-002,MFG-002,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-003,2026-06-10T09:16:07.111905,LAB-003,MFG-003,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-004,2026-06-12T07:43:17.144023,LAB-004,MFG-004,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-005,2026-06-15T04:52:16.182457,LAB-001,MFG-005,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-006,2026-06-17T08:12:34.313332,LAB-002,MFG-001,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-007,2026-06-19T07:42:26.516113,LAB-003,MFG-002,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-008,2026-06-24T08:56:07.356631,LAB-004,MFG-003,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-009,2026-06-24T07:14:14.947756,LAB-001,MFG-004,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-010,2026-06-26T09:14:27.177201,LAB-002,MFG-005,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-011,2026-06-29T11:13:27.764555,LAB-003,MFG-001,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-012,2026-07-03T08:13:58.776184,LAB-004,MFG-002,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-013,2026-07-21T04:02:26.179635,LAB-001,MFG-003,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-014,2026-07-02T02:58:06.981311,LAB-002,MFG-004,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-015,2026-07-28T08:54:15.511963,LAB-003,MFG-005,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-016,2026-08-01T04:12:35.007517,LAB-004,MFG-001,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-018,2026-08-07T10:22:06.235712,LAB-002,MFG-003,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-019,2026-08-13T02:23:16.453908,LAB-003,MFG-004,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-020,2026-08-16T08:01:53.945908,LAB-004,MFG-005,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-021,2026-07-12T11:55:44.270252,LAB-001,MFG-001,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-022,2026-08-22T05:07:54.141354,LAB-002,MFG-002,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-023,2026-08-26T05:54:43.854431,LAB-003,MFG-003,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-024,2026-06-06T07:30:11.889504,LAB-004,MFG-004,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-025,2026-06-09T12:07:20.554531,LAB-001,MFG-005,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-026,2026-06-13T12:17:47.735079,LAB-002,MFG-001,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-027,2026-06-17T13:39:27.897516,LAB-003,MFG-002,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-028,2026-07-19T10:03:24.188028,LAB-004,MFG-003,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-029,2026-06-24T03:31:49.462391,LAB-001,MFG-004,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-030,2026-06-28T09:42:24.988211,LAB-002,MFG-005,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-032,2026-07-05T05:51:08.465909,LAB-004,MFG-002,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-033,2026-07-09T04:47:05.307929,LAB-001,MFG-003,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-034,2026-07-12T09:34:53.723320,LAB-002,MFG-004,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-035,2026-07-29T07:44:48.360373,LAB-003,MFG-005,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-036,2026-07-20T08:55:20.691352,LAB-004,MFG-001,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-037,2026-07-24T05:47:56.908326,LAB-001,MFG-002,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-038,2026-07-27T10:32:53.388571,LAB-002,MFG-003,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-039,2026-07-30T07:27:18.045520,LAB-003,MFG-004,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-040,2026-08-03T07:42:11.110778,LAB-004,MFG-005,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-041,2026-08-07T08:07:52.806001,LAB-001,MFG-001,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-043,2026-08-15T07:31:11.052802,LAB-003,MFG-003,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-044,2026-08-18T11:31:34.330237,LAB-004,MFG-004,DELIVERED
LAB_TO_MANUFACTURER,ASH-P-2026-045,2026-08-22T08:48:17.974073,LAB-001,MFG-005,DELIVERED
PROCESSING,ASH-P-2026-001,2026-06-04,PROC-001,,COMPLETED
PROCESSING,ASH-P-2026-002,2026-06-07,PROC-002,,COMPLETED
PROCESSING,ASH-P-2026-003,2026-06-09,PROC-003,,COMPLETED
PROCESSING,ASH-P-2026-004,2026-06-11,PROC-004,,COMPLETED
PROCESSING,ASH-P-2026-005,2026-06-14,PROC-005,,COMPLETED
PROCESSING,ASH-P-2026-006,2026-06-16,PROC-001,,COMPLETED
PROCESSING,ASH-P-2026-007,2026-06-18,PROC-002,,COMPLETED
PROCESSING,ASH-P-2026-008,2026-06-23,PROC-003,,COMPLETED
PROCESSING,ASH-P-2026-009,2026-06-23,PROC-004,,COMPLETED
PROCESSING,ASH-P-2026-010,2026-06-25,PROC-005,,COMPLETED
PROCESSING,ASH-P-2026-011,2026-06-28,PROC-001,,COMPLETED
PROCESSING,ASH-P-2026-012,2026-07-02,PROC-002,,COMPLETED
PROCESSING,ASH-P-2026-013,2026-07-20,PROC-003,,COMPLETED
PROCESSING,ASH-P-2026-014,2026-07-01,PROC-004,,COMPLETED
PROCESSING,ASH-P-2026-015,2026-07-27,PROC-005,,COMPLETED
PROCESSING,ASH-P-2026-016,2026-07-31,PROC-001,,COMPLETED
PROCESSING,ASH-P-2026-017,2026-08-03,PROC-002,,COMPLETED
PROCESSING,ASH-P-2026-018,2026-08-06,PROC-003,,COMPLETED
PROCESSING,ASH-P-2026-019,2026-08-12,PROC-004,,COMPLETED
PROCESSING,ASH-P-2026-020,2026-08-15,PROC-005,,COMPLETED
PROCESSING,ASH-P-2026-021,2026-07-11,PROC-001,,COMPLETED
PROCESSING,ASH-P-2026-022,2026-08-21,PROC-002,,COMPLETED
PROCESSING,ASH-P-2026-023,2026-08-25,PROC-003,,COMPLETED
PROCESSING,ASH-P-2026-024,2026-06-05,PROC-004,,COMPLETED
PROCESSING,ASH-P-2026-025,2026-06-08,PROC-005,,COMPLETED
PROCESSING,ASH-P-2026-026,2026-06-12,PROC-001,,COMPLETED
PROCESSING,ASH-P-2026-027,2026-06-16,PROC-002,,COMPLETED
PROCESSING,ASH-P-2026-028,2026-07-18,PROC-003,,COMPLETED
PROCESSING,ASH-P-2026-029,2026-06-23,PROC-004,,COMPLETED
PROCESSING,ASH-P-2026-030,2026-06-27,PROC-005,,COMPLETED
PROCESSING,ASH-P-2026-031,2026-07-01,PROC-001,,COMPLETED
