S_No,Scientific_Name,Family,Common_Name,Herbarium_Uses_URL,source_file
120,Aniseia martinicensis (Jacq.) Choisy.,CONVOLVULACEAE,Potupala (Sinhalese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009822&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
121,Anisochilus carnosus (Linn.f.) Wall.,LAMIACEAE,Ajapada (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008901&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
122,Anisomeles indica (L.) Kuntze,LAMIACEAE,Gobura,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008891&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
123,Anisomeles malabarica (L.) R.Br.,LAMIACEAE,Chodhara (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008890&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
124,Annona muricata L.,ANNONACEAE,Mamphal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009917&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
125,Annona reticulata L.,ANNONACEAE,Nona (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009916&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
126,Annona squamosa L.,ANNONACEAE,Sharifa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009918&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
127,Anodendron paniculatum A.DC.,APOCYNACEAE,Kavali (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009278&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
128,Anogeissus latifolia (Roxb. ex. DC.) Wall. ex. Guill. &,COMBRETACEAE,"Dhawa, Dhaura",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013715&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
129,Anthemis cotula L.,ASTERACEAE,Dog-fennel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013624&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
130,Anthemis nobilis L.,ASTERACEAE,Roman Chamomile (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013625&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
131,Anthoxanthum odoratum L.,POACEAE,Sweet Vernal Grass (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003909&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
132,Anthriscus cerefolium Hoffm.,APIACEAE,French Parsley (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013985&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
133,Antiaris toxicaria (Pers.) Lesch.,MORACEAE,Karwat (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009771&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
134,Antidesma bunius Spreng.,EUPHORBIACEAE,Amati (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008989&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
135,Apama siliquosa Lam.,ARISTOLOCHIACEAE,Kuravankanda (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008875&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
136,Aphanamixis polystachya (Wall.) R.Parker,MELIACEAE,Harin-harra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009887&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
137,Apium graveolens L.,APIACEAE,"Shalari, Ajmud",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013759&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
138,Aquilegia vulgaris L.,RANUNCULACEAE,Common Columbine (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009948&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
139,Arachis hypogaea L.,FABACEAE,Mung-phali,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003685&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
140,Arachne cordifolia (Decne.) Hurus.,EUPHORBIACEAE,"Bharti, Bhartoi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008959&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
141,Arctium lappa L.,ASTERACEAE,"Jangli Kuth, Burdock (Eng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013628&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
142,Ardisia solanacea (Poir.) Roxb.,MYRSINACEAE,Dhan-priya,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009223&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
143,Areca catechu L.,ARECACEAE,"Supari, Chaali",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003212&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
144,Areca triandra Roxb. ex Buch.-Ham.,ARECACEAE,wild areca palm (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003213&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
145,Arenga saccharifera Labill.,ARECACEAE,Sugar palm (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003211&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
146,Argemone mexicana L.,PAPAVERACEAE,Bharbhand,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003773&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
147,Argyreia cuneata (Willd.) Ker.-Gawl,CONVOLVULACEAE,Mhalungi (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009690&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
148,Argyreia imbricata (Roth) Santapau & V.Patel,CONVOLVULACEAE,Errakuta (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009695&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
149,Argyreia nervosa (Burm.f.) Boj.,CONVOLVULACEAE,"Samudrasokha, Ghavapatta",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009693&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
150,Arisaema leschenaultii Blume,ARACEAE,Pambucholam (Malayalam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003226&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
151,Arisaema speciosum (Wall.) Mart.,ARACEAE,"Samo-ki-khumb, Kiralu( Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003225&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
152,Arisaema tortuosum (Wall.) Schott,ARACEAE,"Bagh Jandhra, Lin Cheisu (Manipuri)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003227&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
153,Aristida depressa Retz.,POACEAE,sixweeks threeawn (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003186&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
154,Aristolochia bracteolata Lam.,ARISTOLOCHIACEAE,Kitamari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008873&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
155,Aristolochia indica L.,ARISTOLOCHIACEAE,Ishvari mul (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008869&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
156,Aristolochia tagala Chem.,ARISTOLOCHIACEAE,Nallayiswari (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008872&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
157,Arnebia benthamii (Wall.ex G. Don) Johnston,BORAGINACEAE,Kashmiri kahzaban (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009724&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
158,Arnebia euchroma (Royle) Johnston,BORAGINACEAE,"Laljiri (Garhwal), Aam (Ladh.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013156&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
159,Arnica montana L.,ASTERACEAE,Leopard's bane (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013629&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
160,Artabotrys hexapetalus (L.f.) Bhandari,ANNONACEAE,Hara Champaka (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000014000&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
161,Artabotrys suaveolens Blume,ANNONACEAE,Koluvaravalli (Mal.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009913&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
162,Artanema longifolium (L). Vatke,SCROPHULARIACEAE,Kokilaksha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009675&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
163,Artemisia absynthium L.,ASTERACEAE,Vilayathi afsanthin,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013630&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
164,Artemisia dracunculcus L.,ASTERACEAE,Dragon Mugwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013151&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
165,Artemisia indica Willd.,ASTERACEAE,Nagdona (Hindi),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013148&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
166,Artemisia maritima L.,ASTERACEAE,Kirmala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013634&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
167,Artemisia nilagirica (C.B.Clarke) Pamp.,ASTERACEAE,Nagdona,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013641&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
168,Artemisia persica Boiss.,ASTERACEAE,Pardesi davano (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013635&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
169,Artemisia roxburghiana Wall. ex. Besser,ASTERACEAE,Roxburgh's Wormwood (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013636&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
170,Artemisia sacrorum Ledeb.,ASTERACEAE,Burmack (Ladakh),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013637&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
171,Artemisia scoparia Waldst. & Kit.,ASTERACEAE,"Seeta-bani, Jhau",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013639&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
172,Artemisia sivarsiana Ehrh. Ex. Willd.,ASTERACEAE,Kaadu davana (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013640&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
173,Arthrocnemum indicum (Willd.) Moq.,CHENOPODIACEAE,Machola,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009909&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
174,Artocarpus heterophyllus Lam.,MORACEAE,Kathal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009768&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
175,Artocarpus lakoocha Roxb.,MORACEAE,Barhal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009767&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
176,Arundo donax L.,POACEAE,Bara nal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003195&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
177,Asclepias curassavica L.,ASCLEPIADACEAE,"Kakatundi, Kakanasika",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009261&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
178,Asparagus adscendens Roxb.,LILIACEAE,Satavar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003097&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
179,Asparagus filicinus Buch.-Ham ex D. Don,LILIACEAE,Allipalli (Punj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003099&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
180,Asparagus gonocladus Baker,LILIACEAE,Sadaveri (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003100&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
181,Asparagus officinalis L.,LILIACEAE,"Marchuba, Paragus, Vilayati Karua, Nakdown, Margiyeh, Halyun",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003101&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
182,Asparagus racemosus Willd.,LILIACEAE,"Satawar, Satmuli (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003098&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
183,Asplenium adiantum-nigrum L.,ASPLENIACEAE,Black Spleenwort (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003266&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
184,Astragalus strobiliferus Royle ex Benth.,FABACEAE,Garmezu (Chitral),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003696&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
185,Astragalus tribuloides Delile,FABACEAE,Ogai (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003695&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
186,Asystasia gangetica (L.) T.Anderson,ACANTHACEAE,Lavana-valli (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009040&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
187,Atriplex hortensis L.,CHENOPODIACEAE,"Korake, Surake",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009906&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
188,Atropa acuminata Royle,SOLANACEAE,Indian Atropa (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009682&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
189,Atropa belladona L.,SOLANACEAE,Angur Shefa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009683&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
190,Atylosia scrabaeoides (L.) Benth.,FABACEAE,"Bnkulthi, Birghore (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003618&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
191,Avena fatua L.,POACEAE,Common wild oat (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003189&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
192,Avena sativa L.,POACEAE,Common Oat (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003190&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
193,Averrhoa bilimbi L.,OXALIDACEAE,Tree Sorrel (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013456&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
194,Avicennia officinalis L.,VERBENACEAE,Bina,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009085&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
195,Azadirachta indica (L.) A.Juss.,MELIACEAE,Nim,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009901&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
196,Azanza lampas (Cav.) Alef.,MALVACEAE,"Jangli bhendi, Bankapasi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013835&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
197,Azima tetracantha Lam.,SALVADORACEAE,Kantagur-kamai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009288&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
198,Bacopa monnieri (L.) Pennell,SCROPHULARIACEAE,Nira-brahmi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009676&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
199,Balanites aegyptiaca (L.) Delile,BALANITACEAE,"Hingan, Hingot",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013478&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
200,Baliospermum montanum (Willd.) Muell.Arg.,EUPHORBIACEAE,Danti,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008983&column=szBarcode,BSI_Medicinal_Plant_Database (1).csv
1001,Kedrostis rostrata (Rottl.) Cogn.,CUCURBITACEAE,Kukumadunda (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009425&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1002,Kendelia rheedii Wight & Arn.,RHIZOPHORACEAE,Goria (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009442&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1003,Kickxia ramosissima (Wall.) Janch.,SCROPHULARIACEAE,Bhintgalodi (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013273&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1004,Kigelia pinnata (Jacq.) DC.,BIGNONIACEAE,Common Sausage Tree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009134&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1005,Kingiodendron pinnatum (Roxb. ex DC.) Harms.,CAESALPINIACEAE,Madayan samprani (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003288&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1006,Kirganelia reticulata (Poir.) Baill.,EUPHORBIACEAE,"Panjuli, Makhi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008809&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1007,Kleinhovia hospita L.,STERCULIACEAE,Bola (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013940&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1008,Knema angustifolia (Roxb.) Warb.,MYRISTICACEAE,Mota-pasuti (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008537&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1009,Kochia indica Wight,CHENOPODIACEAE,Kaura-ro (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013365&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1010,Kochia scoparia (L.) Schrad.,CHENOPODIACEAE,Ti Fu (Chinese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013367&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1011,Kokoona zeylanica Thwaites,CELASTRACEAE,Kokum (Ceylon),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003367&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1012,Krameria triandra Ruiz & Pav.,POLYGALACEAE,Ratanya (Malay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013086&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1013,Kydia calycina Roxb.,MALVACEAE,"Pula, Choupultea",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013840&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1014,Kyllinga brevifolia Rottb.,CYPERACEAE,Nirbisi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003237&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1015,Kyllinga nemoralis (Forst.) Dandy ex Hutcins. & Dalziel,CYPERACEAE,White water sedge (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003238&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1016,Lablab purpureus (L.) Sweet,FABACEAE,"Bhatvas, Shimi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003294&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1017,Lactuca indica L.,ASTERACEAE,Salad,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009363&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1018,Lactuca remotiflora DC.,ASTERACEAE,Undirachakan (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009360&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1019,Lactuca runcinata DC.,ASTERACEAE,Undirachakan (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009364&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1020,Lactuca sativa L.,ASTERACEAE,"Kahu, Salad",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009362&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1021,Lactuca scariola L.,ASTERACEAE,Kahu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009361&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1022,Lagenandra toxicaria Dalzell,ARACEAE,Maravara tsjembu (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000002992&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1023,Lagenaria siceraria (Molina) Standl.,CUCURBITACEAE,"Kaddu, Lauki",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009410&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1024,Lagerstroemia indica L.,LYTHRACEAE,"Pharash, Telingachina",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009444&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1025,Lagerstroemia speciosa (L.) Pers.,LYTHRACEAE,Jarul,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009443&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1026,Lallemantia royleana (Wall. ex Benth.) Benth.,LAMIACEAE,"Gharei, Kashmalu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013217&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1027,Laminaria saccharina Lam.,PHAEOPHYCEAE,Sea belt (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008572&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1028,Lamium album L.,LAMIACEAE,White Deadnettle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008645&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
1029,Lamium amplexicaule L.,LAMIACEAE,Henbit (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008646&column=szBarcode,BSI_Medicinal_Plant_Database (10).csv
