botanical,family,trade_name,source,med_sys_tag
Amorphophallus paeoniifolius (Dennst.),ARACEAE,"Arsghna, Herb; Surankand,; Zaminkand",Root (Corm),
Amorphophallus sylvaticus (Roxb.),ARACEAE,Tubers Herb,Root (Tuber),
Anacardium occidentale L.,ANACARDIACEAE,Kaju Tree,"Bark (Stem),",
Anacyclus pyrethrum (L.) Cass.,ASTERACEAE,Akarkara Herb,"Stem, Root",
Anamirta cocculus (L.) Wight & Arn.,MENISPERMACEAE,Rakthala Climber,"Fruit, Resin",
Anchusa strigosa Labill.,BORAGINACEAE,Gaozaban Herb; (subs.),"Leaf, Fruit",
Andrographis paniculata (Burm.f.),ACANTHACEAE,Kalmegh Herb,Whole Plant,
Anethum graveolens L.; [ = A.sowa Roxb. ex Flem.],APIACEAE,Sowa Herb,"Fruit (Seed),",
Angelica archangelica L.,APIACEAE,"Conda, Angelica Herb",Root,
Angelica glauca Edgew.,APIACEAE,"Chuara, Choru Herb",Root,
Anisomeles malabarica (L.) R.Br. ex Sims,LAMIACEAE,Karimthumpa Shrub,Root,
Anodendron paniculatum A.DC.,APOCYNACEAE,"Sarakkodi, Climber; Kavali",Whole Plant,
Anogeissus latifolia (Roxb. ex DC.),COMBRETACEAE,Dhawada Tree,Gum,
Anthemis nobilis L.,ASTERACEAE,"Babuna, Herb; Gulbabuna","Flower, Leaf",Tag **
Anthocephalus cadamba (Roxb.)Miq.,RUBIACEAE,Kadam,C/W,AS
Aphanamixis polystachya (Wall.) Parker; [ = Amoora rohituka (Roxb.) Wight,MELIACEAE,"Rakta Rohida,; Rohitak",C/W,AHS
Aphananthe cuspidata (Blume) Planch.,ULMACEAE,Peenari,W,F
Apium graveolens L.,APIACEAE,"Ajmoda, Celery",C/W,AHSTU
Aquilaria agallocha Roxb.,THYMELAEACEAE,"Agar kala, Akil",I/W,AFSTU
Arctium lappa L.,ASTERACEAE,Phaggarmul,W,FH
Areca catechu L.,ARECACEAE,Supari,C,AFHS-TUW
Argemone mexicana L.,PAPAVERACEAE,"Brhami Dandi,; Kusme Beeja",W,AFHSU
Argyreia speciosa (L.f.) Sweet; [ = A. nervosa (Burm.f.) Bojer],CONVOLVULACEAE,"Samudraphal,; Samundra Sokh",W,ASTU
Aristolochia bracteolata Lam.,ARISTOLOCHIACEAE,Kidamari,W,AFS
Aristolochia indica L.,ARISTOLOCHIACEAE,Ishwar mool,W,AFSTU
Aristolochia rotunda L,ARISTOLOCHIACEAE,Zarawand,W,FU
Aristolochia tagala Cham.,ARISTOLOCHIACEAE,Aadutheen-; dapalai,W,F
Arnebia benthamii (Wall. ex G.Don),BORAGINACEAE,Gauzaban,W,A
Arnebia euchroma (Royle) I.M.Johnst.,BORAGINACEAE,Gaozaban,W,FTag **
Arnebia nobilis Rech.f.,BORAGINACEAE,Ratan jyothi /; Ratan jot,I,FU
Artabotrys hexapetalus (L.f.) Bhandari,ANNONACEAE,"Harichampa,; Madanmast",C/W,AF
Artemisia absinthium L.,ASTERACEAE,Afsanteen,W,AHSUW
Artemisia maritima L. ex Hook.f.,ASTERACEAE,"Ajavayana,; Chauhara, Cina",W,AHW
Artemisia nilagirica (C.B.Clarke) Pamp.,ASTERACEAE,Thavanam,W,AF
Artemisia pallens Wall. ex DC.,ASTERACEAE,Davna,C,FS
Artemisia parviflora Roxb. ex D.Don,ASTERACEAE,Pati,W,F
Artocarpus heterophyllus Lam.,MORACEAE,"Kathal, Panasa Tree",C/W,AFS
Arundo donax L.,POACEAE,"Dhamana,; Baranal, Nala",W,AHS
Asparagus adscendens Roxb.,LILIACEAE,"Musali; safed,; Satawar",W,ASU
Asparagus racemosus Willd.,LILIACEAE,"Shatavari,; Satawar",W/C,AFSTU
Asparagus sarmentosus L.,LILIACEAE,"Satawa; ri,; Shakak; ul",W,ASU
Atalantia monophylla (L.) DC.,RUTACEAE,Kurandubeeja,W,AFS
Atropa acuminata Royle ex Lindl.,SOLANACEAE,Jharka,C/W,FU
Atropa belladonna L.,SOLANACEAE,Belladona,I,AHSUW
Atylosia goensis (Dalzell) Dalzell,FABACEAE,Katttupaayar,I/C,AF
Atylosia scarabeoides (L.) Benth.,FABACEAE,Ban kulatha,W,F
Azadirachta indica A.Juss.,MELIACEAE,Neem,C/W,AFHSTU
Azima tetracantha Lam.,SALVADORACEAE,Shrub,"Leaf, Bark",
Bacopa monnieri (L.) Wettst.,SCROPHULARIACEAE Brahmi,Herb,Whole Plant,
Balanites aegyptiaca (L.) Delile,BALANITACEAE,Tree,Semi-Ripe,
Balanophora fungosa J.R.Forst.,BALANOPHORACEAE,Herb,Whole Plant,
Baliospermum montanum (Willd.),EUPHORBIACEAE Danti,Shrub,Root,
Bambusa arundinacea (Retz.) Willd.,BAMBUSEACEAE,Tree,Leaf,
Bandeiraea simplicifolia (M.Vahl ex,CAESALPINIACEAE,Climber,Fruit (Seed),
Barleria cristata L.,ACANTHACEAE,Shrub,Whole Plant,
Barleria prionitis L.,ACANTHACEAE Sahacara,Shrub,Whole Plant,
Barleria strigosa Willd.,ACANTHACEAE Nilajhint,Shrub,Whole Plant,
Barringtonia acutangula (L.) Gaertn.,BARINGTONIACEAE Nicula,Tree,Fruit,
Barringtonia racemosa (L.) Spreng.,BARINGTONIACEAE,Tree,Fruit (Seed),
Basella alba L.,BASELLACEAE,Climber,Whole Plant,Tag **
Bauhinia malabarica Roxb.,CAESALPINIACEAE,"Amlosa,; Asmantaka",W,AS
Bauhinia purpurea L.,CAESALPINIACEAE,Sonachal,C/W,AFST
Bauhinia racemosa Lam.,CAESALPINIACEAE,Kachnar,W,ASU
Bauhinia tomentosa L.,CAESALPINIACEAE,"Kachnar,; Kanchana",W,AFS
Bauhinia vahlii Wight & Arn.,CAESALPINIACEAE,Adda,W,AF
Bauhinia variegata L.,CAESALPINIACEAE,Kachnar,C/W,AFS
Benincasa hispida (Thunb.) Cogn.,CUCURBITACEAE,Kumpalan; ga pacha,C,AFSTU
Berberis aristata DC.,BERBERIDACEAE,"Daruhal; di,; Rasnaja; n,",W,AFSTU
Berberis asiatica Roxb.,BERBERIDACEAE,"Daru; Zarisuk; haldi,; Rasout",W,AFU
Berberis chitria Lindl.,BERBERIDACEAE,Daruhal; di/; Rasaut,W,AF
Berberis lycium Royle,BERBERIDACEAE,"Dar-hald,; Chitra",W,AU
Berberis tinctoria Lesch.,BERBERIDACEAE,Daruhal; di/; Rasaut,W,F
Berberis umbellata Wall. ex G.Don,BERBERIDACEAE,Daruhal; di/; Rasaut,W,F
Bergenia ciliata (Haw.) Sternb.,SAXIFRAGACEAE,Pashnabheda,W,A
Bergenia stracheyi (Hook.f. &,SAXIFRAGACEAE,Pashnabheda,W,A
Betula utilis D.Don,BETULACEAE,Bhojpatra,W,AST
Biophytum sensitivum (L.) DC.,OXALIDACEAE,Mukkutti,W,AFS
Bistorta amplexicaulis (D.Don) Greene,POLYGONACEAE,Anjubar,W,FTag **
Bixa orellana L.,BIXACEAE,"Sindhuri,; Latkan dana,; Annato",C,AFHS
Blepharis edulis auct. non (Forssk.) Pers.; [ = B.persica (Burm.f.) O.Kuntze.],ACANTHACEAE,Uttangan,I,AU
Boerhavia diffusa L.,NYCTAGINACEAE,"Punarnava; raktha,",W,AFHSU
Boerhavia repanda Willd.,NYCTAGINACEAE,"Cattaranai,; Varakanputu",W,S
Bombax ceiba L.; [ = B. malabaricum DC.],BOMBACACEAE,Mochras,W,AFS
Borassus flabellifer L.,ARECACEAE,"Palmyra palm,; Tad",C/W,AFSTU
Borreria hispida (L.) Schum.; [ = Spermacoce hispida L.],RUBIACEAE,Thaarthaaval,W,AF
Boswellia carteri Birdw.,BURSERACEAE,Sali guggul,I,F
Boswellia frereana Birdw.,BURSERACEAE,African elemi,I,F
Boswellia serrata Roxb.,BURSERACEAE,"Kandur,; Guggul, Dupa",W,ASU
Brassica alba (L.) Rabenh,BRASSICACEAE,"Safed rai,; Kadugu",C,AHSU
Brassica juncea (L.) Czern.,BRASSICACEAE,"Kaduku,; Sasuve Bili",C,AFS
Briedelia montana (Roxb.) Willd.,EUPHORBIACEAE,"Gondni, Geia",W,AF
Buchanania lanzan Spreng.,ANACARDIACEAE,Chironji,W,AFSTUTag **
Bunium persicum (Boiss.) B.Fedtsch.,APIACEAE,"Kala-zirah,; Shah-zirah",C/W,AF
Butea monosperma (Lam.) Taub.; [ = B. frondosa Willd.],FABACEAE,"Palash, Tesu; phool, Lac",W,AFSTU
Butea superba Willd.,FABACEAE,"Phul kesu,; Tesu phool",W,AFS
Caccinia crassifolia (Vent.) C.Koch,BORAGINACEAE,Gaozaban,I,F
Cadaba fruticosa (L.) Druce; [ = C. indica Lam.],CAPPARACEAE,"Kodham,; Pulika",W,FS
Caesalpinia bonduc (L.) Roxb.,CAESALPINIACEAE,"Sagargota,; Gatran,; Nataphal",W,AFHS
Caesalpinia digyna Rottler.,CAESALPINIACEAE,"Teripods,; Teri Beej",W,A
Caesalpinia pulcherrima (L.) Sw.,CAESALPINIACEAE,"Gultora,; Krishnachura,; Peacock flower",C,AFS
Caesalpinia sappan L.,CAESALPINIACEAE,Pathimugam,C,AFSU
Cajanus cajan (L.) Millsp.,FABACEAE,"Arhar, Tur",C,AFST
Calamus rotang L.,ARECACEAE,"Pirapan; Kizhangu, Bet",W,AFSU
Callicarpa macrophylla Vahl,VERBENACEAE,Priyangu,W,AT
Calophyllum apetalum Willd.,CLUSIACEAE,Cherupunna,W,FS
Calophyllum inophyllum L.,CLUSIACEAE,Punnappoovu,C/W,AFSTag **
Calotropis gigantea (L.) R.Br.,ASCLEPIADACEAE,Erukkin veru,W,AFHSTU
Calotropis procera (Aiton) W.T.Aiton,ASCLEPIADACEAE,Akada Phool,W,AFSTU
Calycopteris floribunda (Roxb.) Poir.,COMBRETACEAE,Pullaaniyila,W,AF
Canarium strictum Roxb.,BURSERACEAE,"Dhoop,; Raldhoop",W,AFS
Canella alba Murray,CANELLACEAE,Kiliyuram; pattai,I,F
Cannabis sativa L.,CANNABINACEAE,"Maya, Bhang",C/W,AFHS-TUW
Canscora decussata Schult. & Schult.f.,GENTIANACEAE,"Shankhuli,; Nakuli,; Shankahpuspi",W,ASU
Capparis divaricata Lam.,CAPPARACEAE,Turatti,W,S
Capparis moonii Wight,CAPPARACEAE,Rudanti,W,A
Capparis roxburghii DC.,CAPPARACEAE,Rudanti (Subs.),W,A
Capparis sepiaria L.,CAPPARACEAE,Karungurai,W,AFS
Capparis spinosa L.,CAPPARACEAE,Kanther,W,AU
Capparis zeylanica L. [ = C.horrida L.],CAPPARACEAE,Sivappu Boomi; Sakkarai; Kizhangu,W,AFS
Cardiospermum halicacabum L.,SAPINDACEAE,Mudakkathan,W,AFHSU
Carduus nutans L.,ASTERACEAE,"Musk thistle,; Scotch thistle",W,F
Careya arborea Roxb.,LECYTHIDACEAE,"Vaaikumbha,; Kumbhiphoo",W,AFSTag **
Carica papaya L.,CARICACEAE,"Papaya, Papita",C,AFHSUW
Carissa carandas L.,APOCYNACEAE,"Christ’s thorn,; Karanda",W/C,AFS
Carthamus tinctorius L.,ASTERACEAE,Kusum phool,C,AFSTU
Carum carvi L.,APIACEAE,"Shahjeera,; Kalazira",C/W,AHSTU
Carum strictocarpum C.B.Clarke,APIACEAE,Kalzira (Subs.),W,F
Casearia esculenta Roxb.,FLACOURTIACEAE,Saptarangi,W,A
Cassia absus L.,CAESALPINIACEAE,Chaksoo,W,AFSTU
Cassia alata L.; [ = Senna alata (L.) Roxb.],CAESALPINIACEAE,"Dadmurdan; , Dat-ka-; pat",C/W,AFS
Cassia angustifolia Vahl; [ = C. senna L.; Senna alexandrina,CAESALPINIACEAE,"Sona patta,; Sonamukhi,; Senna",C,AHSUW
Cassia auriculata L.; [ = Senna auriculata (L.) Roxb.],CAESALPINIACEAE,Avarai,W,AFS
Cassia fistula L.,CAESALPINIACEAE,"Amalthasphali,; Sonari chal",W/C,AFSTU
Cassia obtusifolia L.; [ = Senna obtusifolia (L.) H.S.Irwin,CAESALPINIACEAE,"Panevar, Taga",C/W,A
Cassia occidentalis L.; [ = Senna occidentalis (L.) Link],CAESALPINIACEAE,"Kasondi,; Kasmardah",W,AFST
"Cassia siamea Lam.; [ = Senna siamea (Lam.) H.S,Irwin",CAESALPINIACEAE,Kassod,C,FSTag **
Cassia sophera L.; [ = Senna sophera (L.) Roxb.],CAESALPINIACEAE,"Kasodi,; Ponthakaram",W,AFHS
Cassia tora L.; [ = Senna tora (L.) Roxb.],CAESALPINIACEAE,"Chakoda Beeja,; Pawad,; Chankuda",W,AFSTU
Cassytha filiformis L.,CASSYTHACEAE,"Astimu,; Akash Bel",W,AFS
Catharanthus roseus (L.) G.Don; [ = Vinca rosea L.],APOCYNACEAE,"Sadabahar,; Vinca rosea",C,AFW
Catunaregum spinosa (Thunb.) Tirveng.; [= Xeromphis spinosa (Thunb.) Keay ],RUBIACEAE,"Mainphal,; Maggare",W,A
Cayratia carnosa (Wall.) Gagnep.,VITACEAE,"Amal ved,; Amal bel, Gutt",W,AF
Cayratia pedata (Lam.) A.Juss.,VITACEAE,"Suvaha,; Gummatige",W,AFS
Cedrus deodara (Roxb.) G.Don,PINACEAE,Devdar,W,AFSTU
Ceiba pentandra (L.) Gaertn.; [ = Eriodendron pentandrum (L.) Kurz],BOMBACACEAE,Safed semal,C,AFSU
Celastrus paniculatus Willd.,CELASTRACEAE,"Malkangani,; Jyothismathi,; Bavanthi beeja",W,AFSTU
Celtis philippensis Blanco,ULMACEAE,Kakamushti; (Subs.),W,FS
Centaurea behen L.,ASTERACEAE,Behmen Safed,I,FU
Centella asiatica (L.) Urb.,APIACEAE,"Brahmi,; Brahmi booti",C/W,AFHSTW
Centratherum anthelminticum (L.),ASTERACEAE,Kali zeeri,W,AHSUTag **
Cephaelis ipecacuanha (Brot.) A.Rich.; [= Psychotria ipecacuanha (Brot.),RUBIACEAE,Ipecacuanha,C,HSUW
Chaerophyllum villosum Wall. ex DC.,APIACEAE,Mithi patis,W,F
Chlorophytum arundinaceum Baker,LILIACEAE,Safed musali,C/W,AFTU
Chlorophytum borivilianum Santapau,LILIACEAE,Safed musali,C/W,F
Chlorophytum tuberosum Baker,LILIACEAE,Safed musali,W/C,AS
Chonemorpha fragrans (Moon) Alston,APOCYNACEAE,Murva,W,AF
Chrozophora prostrata Dalzell,EUPHORBIACEAE,Neelkanthi,W,AU
Chrysanthemum cinerariifolium,ASTERACEAE,Pyrethrum,C,FW
Cichorium endivia L.,ASTERACEAE,"Kasini, Endive",C,A
Cichorium intybus L.,ASTERACEAE,Kasani,C/W,AFHSUW
Cinchona ledgeriana Bern.,RUBIACEAE,Cinchona,I,FW
Cinchona officinalis L.,RUBIACEAE,Cinchona bark,I,AHU
Cinnamomum camphora (L.) Presl,LAURACEAE,Kapur,C,AFHS-TUW
Cinnamomum cassia Nees ex Blume,LAURACEAE,Dalchini,I,ASTU
Cinnamomum glaucenscens (Nees),LAURACEAE,Sugandhakabila,W,F
Cinnamomum macrocarpum Hook.f.,LAURACEAE,Lavang,W,AFS
Cinnamomum malabathrum (Lam.),LAURACEAE,"Dalchini,; Tejpatta",W,F**
Cinnamomum sulphuratum Nees,LAURACEAE,"Dalchini,; Tejpatta",W,F
Cinnamomum tamala (Buch.-Ham.),LAURACEAE,"Tamal patra,; Tejpatra",W,AFSTU
Cinnamomum verum J.Presl; [= C. zeylanicum Blume],LAURACEAE,Dalchini,C,AFH
Cinnamomum wightii Meisn.,LAURACEAE,"Dalchini,; Tejpatta",W,AS
Cipadessa baccifera (Roth) Miq.,MELIACEAE,Adusoge soppu,W,FS
Cissampelos pareira L.; var. hirsuta (Ham. ex DC.) Forman,MENISPERMACEAE,Pahad mool,W,AFHSTUW
Cissus quadrangularis L.,VITACEAE,Pirandai,W,AFS
Citrullus colocynthis (L.) Schrad.,CUCURBITACEAE,"Indrayan,; Indravaruni",W,AFHSTU
Citrullus lanatus (Thunb.) Matsumara,CUCURBITACEAE,"Terbuz,; water melon",C,AH
Citrus acida Pers.,RUTACEAE,Limbu,C,S
Citrus aurantifolia (Christm. &,RUTACEAE,Limbu,C,AFSU
Citrus aurantium L.,RUTACEAE,Narangi,C,AFSU
Citrus bergamia Risso.,RUTACEAE,"Limbu chaal,; Jambeeram",C/W,AU
Citrus limon (L.) Burm.f.,RUTACEAE,Lemon,C,AFHTUW
Citrus medica L.,RUTACEAE,"Matunga,; Mahnimbu",W,ASU
Citrus reticulata Blanco,RUTACEAE,Santra,C,ATU
Clausena dentata (Willd.) Roem.,RUTACEAE,Mahasindur,W,FS
Cleistanthus collinus (Roxb.) Benth.,EUPHORBIACEAE,"Kutaja, Garbar",W,AS
Clematis gouriana Roxb. ex DC.,RANUNCULACEAE,Morvel Climber,Whole Plant,
Clematis triloba Heyne,RANUNCULACEAE,Morvel Climber,Whole Plant,
Cleome gynandra L.; [= Gynandropsis pentaphylla (L.) DC.],CLEOMACEAE,"Cat whiskers, Herb; Ridhi",Whole Plant,
Cleome viscosa L.,CLEOMACEAE,Nai kadugu Herb,"Root,",
Clerodendrum indicum (L.) Kuntze,VERBENACEAE,Bharangi Shrub,Root,
Clerodendrum inerme (L.) Gaertn.,VERBENACEAE,"Nir-Notsjil, Shrub; Sangan-; Kuppi,; Agnimanth",Whole Plant,
Clerodendrum phlomidis L.f.,LAMIACEAE,Arnimul Shrub,"Leaf, Root",
Clerodendrum serratum (L.) Moon,VERBENACEAE,Bharangi Shrub,Bark (Root),
Clitoria ternatea L.,FABACEAE,Kajli Climber,Root,
Coccinia grandis (L.) Voigt; [ = C. indica W. & A.],CUCURBITACEAE,"Bhrngaraj, Climber; Bimb",Whole Plant,
Cocculus hirsutus (L.) Theob.,MENISPERMACEAE,Vasanvel Climber,Leaf,
Cochlospermum religiosum (L.) Alston,COCHLOSPERMA-; CEAE,Katira Tree,Gum,
Cocos nucifera L.,ARECACEAE,Nariyal Tree,Flower,
Coffea arabica L.,RUBIACEAE,Coffee Shrub,Fruit (Seed),
Coffea travancorensis Wight & Arn.,RUBIACEAE,"Katu-mulla, Shrub; Tsjeru-",Root,
Coix lacryma-jobi L.,POACEAE,"Sankhlu, Dabhir Herb",Fruit,
Colchicum luteum Baker,LILIACEAE,Suranjan Herb,"Root,",
Coleus zeylanicus (Benth.) Cramer,LAMIACEAE,Valakah Herb,Whole Plant,
Combretum decandrum Roxb. non Jacq.,COMBRETACEAE,Korakukundi Climber,Fruit (Seed),**
Commiphora caudata (Wight & Arn.),BURSERACEAE,"Kiluvai,; Kondamavu",W,FS
Commiphora myrrha (T.Nees) Engl.,BURSERACEAE,Hirabol,I,ATU
Commiphora wightii (Arn.) Bhandari; [ = C. mukul (Hook. ex Stocks) Engl.],BURSERACEAE,"Guggul, Guggulu",I/W,A
Convolvulus arvensis L.,CONVOLVULACEAE,Chandvel; (Prasarni),C/W,AHSU
Convolvulus microphyllus Sieb.,CONVOLVULACEAE,Shankapushpi,W,A
Convolvulus scammonia L.,CONVOLVULACEAE,Saqmunia,I,HSU
Coptis teeta Wall.,RANUNCULACEAE,Mamira,C/W,ASU
Corallocarpus epigaeus (Rottl. & Willd.),CUCURBITACEAE,"Akasgaddah,; Patalagaruda",W,AST
Corchorus depressus Stocks,TILIACEAE,Bahuphali,W,AU
Corchorus trilocularis L.,TILIACEAE,Arenukam,W,A
Cordia dichotoma G.Forst.,CORDIACEAE,Lasora,W/C,AFSU
Cordia monoica Roxb.; var. wallichii (G.Don) C.B.Clarke,CORDIACEAE,Narivari,W,FS
Cordia wallichii G.Don; [= Cordia obliqua Willd.; var. wallichii (G.Don) C.B.Clarke ],CORDIACEAE,Sapistan,W,FTag **
Cordyceps sinensis (Berk.) Saac,CLAVICIPITACEAE,Yarsa Gomba,W,F
Coriandrum sativum L.,APIACEAE,"Dhaniya,; Dhana",C,AFSTU
Corylus jacquemontii Decne.,BETULACEAE,Findak (Subs.),W,F
Coscinium fenestratum (Gaertn.) Colebr.,MENISPERMACEAE,"Maramanjal,; Daruharidra",W,AFST
Costus speciosus (J.Konig) Sm.,COSTACEAE,"Kustha,; Koshtum, Kuth",W,AFSU
Crataegus oxyacantha L.,ROSACEAE,Hawthorn,C/W,FH
Crataeva religiosa G.Forst.; [ = C. nurvula Buch. - Ham.],CAPPARACEAE,"Varun chhal,; Varunah",W/C,AFS
Crocus sativus L.,IRIDACEAE,Kesar,C,AFHSTU
Crotalaria juncea L.,FABACEAE,"Dhanahari,; Patashan, Sann",C/W,AFSU
Crotalaria verrucosa L.,FABACEAE,"Banshana,; San, Sanpushpi",W,AFS
