storage_event_id,medicine_batch_id,facility_id,timestamp,sensor_id,temperature_c,humidity_percent,light_intensity_lux,switch_status,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,shock_detected,tilt_angle_deg,weight_kg,weight_change_kg,latitude,longitude,gps_valid,alert_status
STR-0017,MED-2026-017,MFG-002-STORAGE,2026-08-07T16:12:21.015368,IOT-LIMIT-001,28.22,57.87,116.6,CLOSED,-0.017,0.018,1.008,0.2,1.04,-0.6,False,-1.95,4.962,0.0,27.904854,86.552553,True,NORMAL
STR-0018,MED-2026-018,MFG-003-STORAGE,2026-08-13T09:50:09.260486,IOT-GPS-001,26.95,58.26,69.1,CLOSED,0.024,-0.006,1.017,-0.53,0.15,1.73,False,-0.09,4.958,0.0,21.516408,79.932388,True,NORMAL
STR-0019,MED-2026-019,MFG-004-STORAGE,2026-08-16T16:26:44.173233,IOT-LIMIT-001,28.19,55.3,101.6,CLOSED,-0.008,0.023,1.0,-0.95,-0.58,0.56,False,-0.66,5.01,0.0,28.196833,79.575262,True,NORMAL
STR-0020,MED-2026-020,MFG-005-STORAGE,2026-07-12T16:27:12.284949,IOT-LIMIT-001,25.73,61.07,122.9,CLOSED,0.008,-0.006,1.035,0.0,-0.44,-0.82,False,0.02,4.997,0.0,28.179935,76.487058,True,NORMAL
STR-0021,MED-2026-021,MFG-001-STORAGE,2026-08-22T09:21:55.603877,IOT-DHT22-001,23.44,66.07,117.9,CLOSED,0.026,-0.034,1.011,1.17,1.36,-0.01,False,-0.32,4.947,0.0,22.383814,72.3402,True,NORMAL
STR-0022,MED-2026-022,MFG-002-STORAGE,2026-08-26T12:45:53.180816,IOT-HX711-001,27.26,65.99,150.0,CLOSED,0.001,-0.004,0.969,-1.37,1.24,-2.12,False,1.54,4.96,0.0,24.813157,72.309536,True,NORMAL
STR-0023,MED-2026-023,MFG-003-STORAGE,2026-06-06T14:52:28.916237,IOT-LIMIT-001,24.12,58.85,110.1,CLOSED,-0.008,0.002,0.981,0.13,0.86,-0.28,False,-1.32,4.928,0.0,20.244458,73.647559,True,NORMAL
STR-0024,MED-2026-024,MFG-004-STORAGE,2026-06-09T18:20:21.246329,IOT-DHT22-001,24.36,56.58,128.0,CLOSED,-0.001,0.002,0.983,-0.5,0.35,-0.86,False,1.41,4.933,0.0,24.01751,85.456858,True,NORMAL
STR-0025,MED-2026-025,MFG-005-STORAGE,2026-06-13T21:55:14.851053,IOT-GPS-001,25.91,62.55,119.3,CLOSED,-0.012,0.027,1.013,0.85,3.2,0.17,False,-0.92,4.951,0.0,20.926656,76.063051,True,NORMAL
STR-0026,MED-2026-026,MFG-001-STORAGE,2026-06-17T23:14:36.151936,IOT-HX711-001,25.65,71.23,83.9,CLOSED,0.031,0.0,0.99,0.15,0.63,-0.83,False,-0.56,5.035,0.0,27.470557,76.996814,True,NORMAL
STR-0027,MED-2026-027,MFG-002-STORAGE,2026-07-19T14:06:50.144997,IOT-BH1750-001,25.45,64.81,116.1,CLOSED,0.019,-0.01,0.995,0.81,-0.1,-1.3,False,0.79,4.95,0.0,21.773677,72.596924,True,NORMAL
STR-0028,MED-2026-028,MFG-003-STORAGE,2026-06-24T09:09:35.343956,IOT-DHT22-001,24.1,48.85,42.3,CLOSED,-0.029,-0.007,0.997,0.34,-0.63,1.62,False,0.85,4.971,0.0,25.924313,70.066668,True,NORMAL
STR-0029,MED-2026-029,MFG-004-STORAGE,2026-06-28T15:58:12.940678,IOT-GPS-001,24.14,62.96,100.4,CLOSED,-0.006,-0.005,1.015,-0.1,-0.67,-0.03,False,1.53,4.948,0.0,26.519615,79.086299,True,NORMAL
STR-0030,MED-2026-030,MFG-005-STORAGE,2026-07-05T14:48:43.585363,IOT-BH1750-001,26.44,58.72,35.6,CLOSED,0.011,-0.017,0.967,0.02,-0.16,-0.06,False,-0.85,4.985,0.0,27.670129,88.4662,True,NORMAL
STR-0031,MED-2026-031,MFG-001-STORAGE,2026-07-09T09:14:33.311821,IOT-BH1750-001,27.72,53.15,110.0,CLOSED,-0.003,0.01,1.001,-0.34,1.19,0.67,False,0.71,5.028,0.0,22.659576,82.863217,True,NORMAL
STR-0032,MED-2026-032,MFG-002-STORAGE,2026-07-12T16:17:10.292620,IOT-MPU6050-001,25.98,60.88,100.7,CLOSED,-0.012,-0.036,1.027,-0.68,-1.84,0.55,False,-0.18,5.051,0.0,28.878548,86.282329,True,NORMAL
STR-0033,MED-2026-033,MFG-003-STORAGE,2026-07-29T17:30:21.699190,IOT-DHT22-001,27.4,65.95,114.6,CLOSED,0.025,0.011,1.003,-0.18,0.27,1.18,False,1.03,5.068,0.0,27.287026,80.900496,True,NORMAL
STR-0034,MED-2026-034,MFG-004-STORAGE,2026-07-20T13:51:41.922328,IOT-GPS-001,27.31,55.83,71.6,CLOSED,-0.023,-0.001,1.018,0.57,-0.63,0.27,False,0.61,4.959,0.0,25.889543,79.938473,True,NORMAL
STR-0035,MED-2026-035,MFG-005-STORAGE,2026-07-24T15:07:25.911683,IOT-MPU6050-001,25.06,60.45,116.0,CLOSED,0.005,-0.023,1.002,0.01,-1.96,-0.59,False,0.53,5.019,0.0,23.831725,84.025833,True,NORMAL
STR-0036,MED-2026-036,MFG-001-STORAGE,2026-07-27T19:46:20.370636,IOT-HX711-001,26.34,52.38,115.2,CLOSED,-0.042,0.012,1.006,0.43,0.54,1.6,False,-0.92,5.047,0.0,22.898951,83.307081,True,NORMAL
STR-0037,MED-2026-037,MFG-002-STORAGE,2026-07-30T16:55:44.027539,IOT-LIMIT-001,26.91,54.54,116.2,CLOSED,-0.018,-0.007,1.008,1.39,-0.83,0.43,False,-0.64,5.028,0.0,21.948732,75.355417,True,NORMAL
STR-0038,MED-2026-038,MFG-003-STORAGE,2026-08-03T17:41:21.064122,IOT-HX711-001,25.6,63.52,101.6,CLOSED,-0.023,0.007,0.967,0.36,1.06,-1.24,False,-0.94,5.039,0.0,26.1707,85.755672,True,NORMAL
STR-0039,MED-2026-039,MFG-004-STORAGE,2026-08-07T15:09:17.854428,IOT-HX711-001,26.28,53.91,107.9,CLOSED,-0.018,0.016,0.973,-1.88,-0.3,0.47,False,1.16,4.915,0.0,28.402578,69.205714,True,NORMAL
STR-0040,MED-2026-040,MFG-005-STORAGE,2026-08-15T13:05:09.134135,IOT-LIMIT-001,26.2,62.5,120.1,CLOSED,0.0,0.019,1.019,0.72,-0.51,1.02,False,-0.77,5.047,0.0,25.284309,86.219231,True,NORMAL
STR-0041,MED-2026-041,MFG-001-STORAGE,2026-08-18T16:56:45.522554,IOT-DHT22-001,23.69,60.38,68.4,CLOSED,-0.006,-0.002,0.962,-0.14,-0.95,-0.8,False,-0.21,4.979,0.0,28.516772,86.188233,True,NORMAL
STR-0042,MED-2026-042,MFG-002-STORAGE,2026-08-22T17:22:46.679607,IOT-HX711-001,26.66,58.76,86.2,CLOSED,0.006,0.023,1.026,-1.08,-0.9,0.48,False,-0.45,5.035,0.0,28.880804,84.51846,True,NORMAL
