medicine_batch_id,product_name,processing_batch_id,manufacturer_id,manufacturing_date,manufacturing_timestamp,expiry_date,qr_id,batch_status
MED-2026-017,"Moth, Bhringga Capsules",ASH-P-2026-018,MAN-002,8/7/2026,2026-08-07T14:12:21.015368,8/6/2028,QR-2026-017,RELEASED
MED-2026-018,Arruvanci (Tam.) Capsules,ASH-P-2026-019,MAN-003,8/13/2026,2026-08-13T07:50:09.260486,8/12/2028,QR-2026-018,RELEASED
MED-2026-019,"Punir, Asgandh Capsules",ASH-P-2026-020,MAN-004,8/16/2026,2026-08-16T14:26:44.173233,8/15/2028,QR-2026-019,RELEASED
MED-2026-020,"Haldi, Halada Capsules",ASH-P-2026-021,MAN-005,7/12/2026,2026-07-12T14:27:12.284949,7/11/2028,QR-2026-020,RELEASED
MED-2026-021,"Mulathi,; Jeshtimadhu,; Gulegafis Capsules",ASH-P-2026-022,MAN-001,8/22/2026,2026-08-22T07:21:55.603877,8/21/2028,QR-2026-021,RELEASED
MED-2026-022,"Satawar, Satmuli (Beng.) Capsules",ASH-P-2026-023,MAN-002,8/26/2026,2026-08-26T10:45:53.180816,8/25/2028,QR-2026-022,RELEASED
MED-2026-023,Tulasi Herb Capsules,ASH-P-2026-024,MAN-003,6/6/2026,2026-06-06T12:52:28.916237,6/5/2028,QR-2026-023,RELEASED
MED-2026-024,"Amrita, Giloe Capsules",ASH-P-2026-025,MAN-004,6/9/2026,2026-06-09T16:20:21.246329,6/8/2028,QR-2026-024,BLOCKED
MED-2026-025,"Kesar, Zafran Capsules",ASH-P-2026-026,MAN-005,6/13/2026,2026-06-13T19:55:14.851053,6/12/2028,QR-2026-025,RELEASED
MED-2026-026,Harre Capsules,ASH-P-2026-027,MAN-001,6/17/2026,2026-06-17T21:14:36.151936,6/16/2028,QR-2026-026,RELEASED
MED-2026-027,"Kesar, Zafran Capsules",ASH-P-2026-028,MAN-002,7/19/2026,2026-07-19T12:06:50.144997,7/18/2028,QR-2026-027,RELEASED
MED-2026-028,Arruvanci (Tam.) Capsules,ASH-P-2026-029,MAN-003,6/24/2026,2026-06-24T07:09:35.343956,6/23/2028,QR-2026-028,RELEASED
MED-2026-029,"Punir, Asgandh Capsules",ASH-P-2026-030,MAN-004,6/28/2026,2026-06-28T13:58:12.940678,6/27/2028,QR-2026-029,RELEASED
MED-2026-030,"Mulathi,; Jeshtimadhu,; Gulegafis Capsules",ASH-P-2026-032,MAN-005,7/5/2026,2026-07-05T12:48:43.585363,7/4/2028,QR-2026-030,RELEASED
MED-2026-031,"Satawar, Satmuli (Beng.) Capsules",ASH-P-2026-033,MAN-001,7/9/2026,2026-07-09T07:14:33.311821,7/8/2028,QR-2026-031,RELEASED
MED-2026-032,Bahera Capsules,ASH-P-2026-034,MAN-002,7/12/2026,2026-07-12T14:17:10.292620,7/11/2028,QR-2026-032,RELEASED
MED-2026-033,"Bhuin khajur, Dinda kinda (Bihar) Capsules",ASH-P-2026-035,MAN-003,7/29/2026,2026-07-29T15:30:21.699190,7/28/2028,QR-2026-033,RELEASED
MED-2026-034,Jari Capsules,ASH-P-2026-036,MAN-004,7/20/2026,2026-07-20T11:51:41.922328,7/19/2028,QR-2026-034,RELEASED
MED-2026-035,"Haldi, Halada Capsules",ASH-P-2026-037,MAN-005,7/24/2026,2026-07-24T13:07:25.911683,7/23/2028,QR-2026-035,RELEASED
MED-2026-036,Nim Capsules,ASH-P-2026-038,MAN-001,7/27/2026,2026-07-27T17:46:20.370636,7/26/2028,QR-2026-036,RELEASED
MED-2026-037,Adrak Capsules,ASH-P-2026-039,MAN-002,7/30/2026,2026-07-30T14:55:44.027539,7/29/2028,QR-2026-037,RELEASED
MED-2026-038,Brahma-manduki Capsules,ASH-P-2026-040,MAN-003,8/3/2026,2026-08-03T15:41:21.064122,8/2/2028,QR-2026-038,RELEASED
MED-2026-039,Shivling beej Capsules,ASH-P-2026-041,MAN-004,8/7/2026,2026-08-07T13:09:17.854428,8/6/2028,QR-2026-039,RELEASED
MED-2026-040,Thatch grass Capsules,ASH-P-2026-043,MAN-005,8/15/2026,2026-08-15T11:05:09.134135,8/14/2028,QR-2026-040,RELEASED
MED-2026-041,Tulasi Herb Capsules,ASH-P-2026-044,MAN-001,8/18/2026,2026-08-18T14:56:45.522554,8/17/2028,QR-2026-041,RELEASED
MED-2026-042,"Amrita, Giloe Capsules",ASH-P-2026-045,MAN-002,8/22/2026,2026-08-22T15:22:46.679607,8/21/2028,QR-2026-042,RELEASED
